"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Albania";"Saranda";"Excursión a Butrinto para cruceros";"https://www.civitatis.com/es/saranda/excursion-butrinto-cruceros/";"Shore2Shore";"info@shore2shore.es";"928 51 53 52";"CALIMA SHORE TRAVEL S.L. | CALLE PARDELERA 8, Puerto Del Carmen, España";"";"30233.89";"4";"80";"7.0";"CLP";"2026-02-16"
"Albania";"Saranda";"Tour por la Riviera albanesa";"https://www.civitatis.com/es/saranda/tour-riviera-albanesa/";"Joel Travel";"joeltravel0@gmail.com";"+355694888106";"Jolanda Proda | Rruga Mitat Hoxha, Port Passenger Sarande, Saranda, Albania";"";"83143.21";"7";"96";"5.7";"CLP";"2026-02-16"
"Albania";"Saranda";"Excursión a Butrinto";"https://www.civitatis.com/es/saranda/excursion-butrinto/";"Joel Travel";"joeltravel0@gmail.com";"+355694888106";"Jolanda Proda | Rruga Mitat Hoxha, Port Passenger Sarande, Saranda, Albania";"";"59388.0";"10";"253";"8.2";"CLP";"2026-02-16"
"Albania";"Saranda";"Excursión a Gjirokastra y Castillo Lekuresi";"https://www.civitatis.com/es/saranda/excursion-gjirokastra-castillo-lekuresi/";"Joel Travel";"joeltravel0@gmail.com";"+355694888106";"Jolanda Proda | Rruga Mitat Hoxha, Port Passenger Sarande, Saranda, Albania";"";"86382.55";"0";"116";"0.0";"CLP";"2026-02-16"
"Albania";"Saranda";"Excursión a Konispol";"https://www.civitatis.com/es/saranda/excursion-konispol/";"My Tour - Albania";"info@mytoursinalbania.com";"+39055284770";"MY TOUR - MY RENT S.R.L. | VIA GENOVA 29 , CERTALDO, Italia";"";"82063.42";"0";"2";"0.0";"CLP";"2026-02-16"
"Albania";"Saranda";"Paseo en barco por la costa de Saranda";"https://www.civitatis.com/es/saranda/paseo-barco-costa-saranda/";"Roxer Boat Trips";"Klodjandervishaj@gmail.com";"00355689077731";"Anisa Odobashi | Rruga e Flamurit 56 Saranda, Saranda, Albania";"";"43191.27";"16";"275";"9.0";"CLP";"2026-02-16"
"Albania";"Saranda";"Excursión a la laguna Blue Eye";"https://www.civitatis.com/es/saranda/excursion-blue-eye/";"Joel Travel";"joeltravel0@gmail.com";"+355694888106";"Jolanda Proda | Rruga Mitat Hoxha, Port Passenger Sarande, Saranda, Albania";"";"48590.18";"9";"281";"6.7";"CLP";"2026-02-16"
"Albania";"Saranda";"Excursión a Corfú en barco";"https://www.civitatis.com/es/saranda/excursion-corfu/";"Ioniancruises";"alres@ionian-cruises.com";"2661025155";"Papikinos Theod. Petros | Ethnikis Antistaseos 4, Corfú, Grecia";"";"75584.73";"1";"25";"10.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Free tour por Tirana";"https://www.civitatis.com/es/tirana/free-tour-tirana/";"Tour Tirana Sh.p.k";"info@tiranafreetour.com";"00355696315858";"Tour Tirana, Sh.p.k. | Sheshi Skenderbej, Tirana, Albania";"";"0.0";"6814";"97584";"9.6";"CLP";"2026-02-16"
"Albania";"Tirana";"Excursión a Shkodra y Kruja";"https://www.civitatis.com/es/tirana/excursion-shkodra-kruja/";"Aria Travel Albania";"aria.travel.albania@gmail.com";"+355692234999";"Aria Travel Albania | Rruga Kajo Karafili, Tirane, Albania";"";"76664.51";"55";"399";"9.2";"CLP";"2026-02-16"
"Albania";"Tirana";"Excursión a Berat";"https://www.civitatis.com/es/tirana/excursion-berat/";"Albania Explorer";"a.llusku@albaniaexplorer.com";"+355-683999480";"Albania Explorer | Bulevardi , Albania, Albania";"";"106898.41";"91";"650";"8.8";"CLP";"2026-02-16"
"Albania";"Tirana";"Free tour por la Tirana comunista";"https://www.civitatis.com/es/tirana/free-tour-tirana-comunista/";"Travel As & Elio";"incomingtravelaselio@gmail.com";"+355692745089";"Antonio Shahini | rruga e Durresit nr.84/1 ,Tirana,Albania, Tirana, Albania";"";"0.0";"173";"4488";"9.4";"CLP";"2026-02-16"
"Albania";"Tirana";"Traslados en Tirana";"https://www.civitatis.com/es/tirana/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"29154.11";"128";"1887";"8.8";"CLP";"2026-02-16"
"Albania";"Tirana";"Excursión al lago Koman y el río Shala";"https://www.civitatis.com/es/tirana/excursion-lago-koman/";"Sky Key Travel";"artolomeri@gmail.com";"+355695253789";"SkyKey | Rruga Budi, zona kadastrale Nr. 8160, Tirana, Albania";"";"86382.55";"0";"14";"0.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Tour por la Tirana comunista";"https://www.civitatis.com/es/tirana/tour-tirana-comunista/";"Balkan Pearls Tour Operator";"info@balkanpearls.com";"+355 68 550 5582";"BALKAN PEARLS TOUR OPERATOR SHPK | Njësia Bashkiake Nr.2, Rruga e Elbasanit, me pasuri nr. 5/112-N3 dhe zone kadastrale, Tirana, Albania";"";"44541.0";"92";"734";"9.1";"CLP";"2026-02-16"
"Albania";"Tirana";"Pub Crawl ¡Tour de fiesta por Tirana!";"https://www.civitatis.com/es/tirana/pub-crawl-tirana/";"Tour Tirana Sh.p.k";"info@tiranafreetour.com";"00355696315858";"Tour Tirana, Sh.p.k. | Sheshi Skenderbej, Tirana, Albania";"";"18356.29";"16";"281";"7.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Tour de la cerveza por Tirana";"https://www.civitatis.com/es/tirana/tour-cerveza-tirana/";"Aria Travel Albania";"aria.travel.albania@gmail.com";"+355692234999";"Aria Travel Albania | Rruga Kajo Karafili, Tirane, Albania";"";"34553.02";"2";"10";"10.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Visita guiada por Tirana";"https://www.civitatis.com/es/tirana/visita-guiada-tirana/";"Florina Leka";"florina.leka@gmail.com";"+355695802838";"Florina Leka | liqeni I thate, rruga peti, kompleksi beta, apartamenti 19, Tirana, Albania";"";"26994.54";"24";"213";"10.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Tour en bicicleta por Tirana";"https://www.civitatis.com/es/tirana/tour-bicicleta-tirana/";"Visitalb";"gegaarid@gmail.com";"+17785137130";"Arid Gegaj | Tafaj Street, Tirana, Albania";"";"32393.45";"2";"32";"10.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Excursión al lago Ohrid y Voskopojë";"https://www.civitatis.com/es/tirana/excursion-lago-ohrid-voskopoje/";"Florina Leka";"florina.leka@gmail.com";"+355695802838";"Florina Leka | liqeni I thate, rruga peti, kompleksi beta, apartamenti 19, Tirana, Albania";"";"118776.01";"3";"37";"10.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Autobús entre el aeropuerto de Tirana y Durrës";"https://www.civitatis.com/es/tirana/autobus-aeropuerto-tirana-durres/";"Distribusion Technologies Gmbh - Eur";"daniil.lavrentev@distribusion.com";"00491731638047";"Distribusion Technologies GmbH | Wattstraße 10, Berlín, Alemania";"";"7558.47";"4";"49";"8.5";"CLP";"2026-02-16"
"Albania";"Tirana";"Excursión a Durrës + Visita a una bodega";"https://www.civitatis.com/es/tirana/excursion-durres/";"Inalb";"info@inalb.al";"+355693864912";"InAlb TPP shpk | Apartment No. 27 Tirana, New Road for Hotel Balkanik, Building No. 12 floor 5 No. 7/220 ZK, Tirana, Albania";"";"100959.61";"0";"20";"0.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Tour de comida callejera por Tirana";"https://www.civitatis.com/es/tirana/tour-comida-callejera-tirana/";"Inalb";"info@inalb.al";"+355693864912";"InAlb TPP shpk | Apartment No. 27 Tirana, New Road for Hotel Balkanik, Building No. 12 floor 5 No. 7/220 ZK, Tirana, Albania";"";"64786.91";"7";"46";"7.7";"CLP";"2026-02-16"
"Albania";"Tirana";"Tour de 3 días por los Alpes albaneses";"https://www.civitatis.com/es/tirana/tour-alpes-albaneses/";"Lit Travel Guide And Tours";"info@lit-travel.al";"+355683997960";"LIT Travel Guide And Tours | Rruga Sami Frasheri, Qendra Metropol, Kati i 2, Tirana, Albania";"";"377923.68";"0";"1";"0.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Degustación de raki y mezes en Tirana";"https://www.civitatis.com/es/tirana/degustacion-raki-mezes-tirana/";"Inalb";"info@inalb.al";"+355693864912";"InAlb TPP shpk | Apartment No. 27 Tirana, New Road for Hotel Balkanik, Building No. 12 floor 5 No. 7/220 ZK, Tirana, Albania";"";"48590.18";"0";"0";"0.0";"CLP";"2026-02-16"
"Albania";"Tirana";"Excursión a Blue Eye, Saranda y Ksamil";"https://www.civitatis.com/es/tirana/blue-eye-castillo-lekursi-ksamil/";"Albanianbus";"admin@albanianbus.com";"+12678052830";"Elvis Cenka | Rruga Andon Bosko, Kulla Hawaj nr. 3, Tirane, Albania";"";"96100.59";"36";"301";"5.8";"CLP";"2026-02-16"
