"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Argentina";"Buenos Aires";"Tour privado por Buenos Aires";"https://www.civitatis.com/es/buenos-aires/tour-privado-buenos-aires/";"Depasseios";"alessandrogabrieldeluca@gmail.com";"0111527157414";"Alessandro Gabriel De Luca | Escribano Cagnin, Buenos Aires, Argentina";"";"122853.47";"305";"6379";"9.5";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Espectáculo en el teatro Tango Porteño";"https://www.civitatis.com/es/buenos-aires/espectaculo-tango-porteno/";"Tango Porteño";"reservas3@tangoporteno.com.ar";"+54 11 4124-9400";"Teatro Metro S.A | Cerrito 570, Buenos Aires, Argentina";"";"33124.93";"725";"10213";"9.0";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Free tour por el centro histórico de Buenos Aires";"https://www.civitatis.com/es/buenos-aires/free-tour-buenos-aires/";"Swell Buenos Aires";"swellbsas@gmail.com";"+541121891436";"Francisco Bautista Canevari Lomazzi | Coronel Ramon Falcón 147 Lomas de Zamora, Buenos Aires, Argentina";"";"0.0";"2512";"86549";"9.2";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Free tour por el centro histórico de Buenos Aires";"https://www.civitatis.com/es/buenos-aires/free-tour-buenos-aires/";"Maximo Velazquez Weimann";"maximovw@outlook.com";"+54 911 51492271";"MAXIMO ARIEL VELAZQUEZ WEIMANN | juramento 5050, Buenos Aires, Argentina";"";"0.0";"2512";"86549";"9.2";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Espectáculo de tango y cena en El Querandi";"https://www.civitatis.com/es/buenos-aires/espectaculo-tango-querandi/";"El Querandi";"reservas@querandi.com.ar";"+5491138485242";"BAR QUERANDI S.A | PERU 302, CABA, Argentina";"";"45501.28";"136";"1607";"9.2";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Free tour por el barrio de La Boca";"https://www.civitatis.com/es/buenos-aires/free-tour-boca/";"Emmanuel De Simone";"desimoneemmanuel08@gmail.com";"+541138348197";"Emmanuel de Simone | Malvinas, Merlo, Argentina";"";"0.0";"2159";"53853";"9.5";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Free tour por el barrio de La Boca";"https://www.civitatis.com/es/buenos-aires/free-tour-boca/";"Swell Buenos Aires";"swellbsas@gmail.com";"+541121891436";"Francisco Bautista Canevari Lomazzi | Coronel Ramon Falcón 147 Lomas de Zamora, Buenos Aires, Argentina";"";"0.0";"2159";"53853";"9.5";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Autobús turístico de Buenos Aires, Gray Line";"https://www.civitatis.com/es/buenos-aires/autobus-turistico-gray-line/";"Gray Line Argentina";"m.rozanski@graylineargentina.com";"541152398206";"MVP Travel Group LLC | 4113 Staghorn LN Weston, FL 33331 USA, Florida, Estados Unidos";"";"20020.56";"24";"828";"9.3";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Traslados en Buenos Aires";"https://www.civitatis.com/es/buenos-aires/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"15470.43";"6483";"99446";"8.6";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Entradas al Museo de la Pasión Boquense";"https://www.civitatis.com/es/buenos-aires/entradas-bombonera-museo-pasion-boquense/";"Grupo Summa";"cristian@gruposumma.com.ar";"+54 11 5263-8839";"Sadacu Real Estate LLC | 1001 Brickell Bay DR STE 1706, Miami, Estados Unidos";"";"29120.82";"40";"1662";"8.6";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Free tour por el barrio de San Telmo";"https://www.civitatis.com/es/buenos-aires/free-tour-san-telmo/";"Swell Buenos Aires";"swellbsas@gmail.com";"+541121891436";"Francisco Bautista Canevari Lomazzi | Coronel Ramon Falcón 147 Lomas de Zamora, Buenos Aires, Argentina";"";"0.0";"462";"20824";"9.1";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Free tour por el barrio de San Telmo";"https://www.civitatis.com/es/buenos-aires/free-tour-san-telmo/";"Jaqueline López Autullo";"jaqueline.buenosaires@gmail.com";"1133543361";"Jaqueline López Autullo | Pte. Perón 4765, Buenos Aires, Argentina";"";"0.0";"462";"20824";"9.1";"CLP";"2026-02-16"
"Argentina";"Buenos Aires";"Excursión a Colonia del Sacramento";"https://www.civitatis.com/es/buenos-aires/excursion-colonia-sacramento/";"Colonia Express";"tickets@coloniaexpress.com";"+54 11 5167-7700";"LUMARY S.A | Boulevar Artigas 1825 Local 31/32, Montevideo, Uruguay";"";"65521.85";"374";"5740";"7.8";"CLP";"2026-02-16"
