"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Baréin";"Manama";"Tour por Manama para cruceros";"https://www.civitatis.com/es/manama/tour-manama-cruceros/";"Shore2Shore";"info@shore2shore.es";"928 51 53 52";"CALIMA SHORE TRAVEL S.L. | CALLE PARDELERA 8, Puerto Del Carmen, España";"";"46430.62";"23";"462";"4.9";"CLP";"2026-02-16"
"Baréin";"Manama";"Tour de Manama al completo con entradas";"https://www.civitatis.com/es/manama/tour-manama-completo/";"Bahrain Tours";"bahraintouristguide@gmail.com";"39884063";"Maher Zayan Ahmed Yaseen | 1443, Manama, Baréin";"";"162894.6";"0";"12";"0.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Tour privado por la Gran Mezquita Al-Fateh + Museo de Baréin";"https://www.civitatis.com/es/manama/gran-mezquita-al-fateh-museo-bahrein/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"4";"156";"5.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Excursión privada al desierto de Sakhir";"https://www.civitatis.com/es/manama/excursion-privada-desierto-sakhir/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"0";"28";"0.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Excursión al desierto de Sakhir";"https://www.civitatis.com/es/manama/excursion-desierto-sakhir/";"Bahrain Tours";"bahraintouristguide@gmail.com";"39884063";"Maher Zayan Ahmed Yaseen | 1443, Manama, Baréin";"";"72802.05";"5";"18";"9.6";"CLP";"2026-02-16"
"Baréin";"Manama";"Excursión privada a Barbar y Saar + Museo de Baréin";"https://www.civitatis.com/es/manama/excursion-barbar-saar-museo-bahrein/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"0";"5";"0.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Tour privado por el Manama histórico";"https://www.civitatis.com/es/manama/tour-manama-historico/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"0";"13";"0.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Excursión privada a Al Muharraq";"https://www.civitatis.com/es/manama/excursion-al-muharraq/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"0";"11";"0.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Tour privado por el Fuerte y Museo de Baréin";"https://www.civitatis.com/es/manama/tour-fuerte-museo-bahrein/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"1";"19";"10.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Tour nocturno privado por Manama";"https://www.civitatis.com/es/manama/tour-nocturno-manama/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"0";"6";"0.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Tour privado de las perlas por Al Muharraq";"https://www.civitatis.com/es/manama/tour-perlas-al-muharraq/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"0";"2";"0.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Excursión a Al Khobar y Dammam";"https://www.civitatis.com/es/manama/excursion-khobar-dammam-isla-murjan/";"Bahrain Tours";"bahraintouristguide@gmail.com";"39884063";"Maher Zayan Ahmed Yaseen | 1443, Manama, Baréin";"";"163804.63";"1";"2";"10.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Tour privado de la artesanía por Manama";"https://www.civitatis.com/es/manama/tour-artesania-manama/";"Farhat Tours";"bahrain@farhat-tours.com";"+973 17211501";"Farhat Tours & Transfers S.P.C. | Bahrain Tower, Office 11, Al Khalifa, Manama, Baréin";"";"207485.87";"0";"8";"0.0";"CLP";"2026-02-16"
"Baréin";"Manama";"Tour gastronómico por Manama";"https://www.civitatis.com/es/manama/tour-gastronomico-manama/";"Pinkalien Food Tours";"yusuf@pinkalien.me";"+97336363618";"Pink Alien Event Management | Block 903 Road 303 Villa 8, Riffa, Baréin";"";"79172.24";"0";"2";"0.0";"CLP";"2026-02-16"
