"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Brasil";"Río de Janeiro";"Tour por la favela de Rocinha";"https://www.civitatis.com/es/rio-de-janeiro/tour-favela/";"Favela Walking Tour";"favelawalkingtour@gmail.com";"+55 21 98178-9239";"José Anderson Gomes de Souza (J A G De S Ag De Turismo) | Rua Manoel de Souza Pinto, 195, Itaboraí, Brasil";"";"46493.31";"520";"10316";"9.5";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Tour por la favela de Rocinha";"https://www.civitatis.com/es/rio-de-janeiro/tour-favela/";"Na Favela Turismo";"atendimento@nafavelaturismo.com";"21 96906-8457";"POLO ROCINHA AGENCIA DE TURISMO LTDA | Estrada da Gávea 233 B, Río de Janeiro, Brasil";"";"46493.31";"520";"10316";"9.5";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Tour por el Cristo Redentor y el Pan de Azúcar";"https://www.civitatis.com/es/rio-de-janeiro/tour-corcovado-pan-azucar/";"Europa Tours";"comercial@riocariocatour.com.br";"+55 21 98806-5075";"ETOURBRAZIL DMC LTD | Flat 28 Stanbury Court, 99, Londres, Reino Unido";"";"90701.68";"435";"11199";"8.4";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Tour por el Cristo Redentor y el Pan de Azúcar";"https://www.civitatis.com/es/rio-de-janeiro/tour-corcovado-pan-azucar/";"C2Rio Tours & Travel";"reservations@c2rio.travel";"+5521974896000";"C2 RIO VIAGENS E TURISMO LTDA ME | Av. Princesa Isabel, 10 - Copacabana, Río de Janeiro, Brasil";"";"90701.68";"435";"11199";"8.4";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Tour de Río de Janeiro al completo con subida al Cristo Redentor en minibús";"https://www.civitatis.com/es/rio-de-janeiro/tour-completo-rio-janeiro/";"Europa Tours";"comercial@riocariocatour.com.br";"+55 21 98806-5075";"ETOURBRAZIL DMC LTD | Flat 28 Stanbury Court, 99, Londres, Reino Unido";"";"99339.93";"4454";"50830";"8.5";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Tour de Río de Janeiro al completo con subida al Cristo Redentor en minibús";"https://www.civitatis.com/es/rio-de-janeiro/tour-completo-rio-janeiro/";"C2Rio Tours & Travel";"reservations@c2rio.travel";"+5521974896000";"C2 RIO VIAGENS E TURISMO LTDA ME | Av. Princesa Isabel, 10 - Copacabana, Río de Janeiro, Brasil";"";"99339.93";"4454";"50830";"8.5";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Paseo en helicóptero por el Cristo Redentor";"https://www.civitatis.com/es/rio-de-janeiro/paseo-helicoptero-cristo-redentor/";"Rio2Fly";"rio2fly@hotmail.com";"+55 21 97267-0505";"BE FASTER SERVICOS AEREOS LTDA | AV DAS AMERICAS 3500 BLC 4 SAL 330, Río de Janeiro, Brasil";"";"226197.8";"0";"51";"0.0";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Tour de Río de Janeiro al completo con subida al Cristo Redentor en tren";"https://www.civitatis.com/es/rio-de-janeiro/tour-rio-cristo-redentor-tren/";"C2Rio Tours & Travel";"reservations@c2rio.travel";"+5521974896000";"C2 RIO VIAGENS E TURISMO LTDA ME | Av. Princesa Isabel, 10 - Copacabana, Río de Janeiro, Brasil";"";"146096.96";"12";"166";"9.2";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Ala delta en Río de Janeiro";"https://www.civitatis.com/es/rio-de-janeiro/ala-delta-rio-janeiro/";"Asa Delta Rio De Janeiro";"rioasadelta@gmail.com";"+55 21 99694-7323";"Carla Ferreira Batista Frazão 00489765718 | Estrada da Gavea 587, Río de Janeiro, Brasil";"";"208958.71";"37";"542";"9.1";"CLP";"2026-02-16"
"Brasil";"Río de Janeiro";"Traslados en Río de Janeiro";"https://www.civitatis.com/es/rio-de-janeiro/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"18729.66";"2665";"88874";"8.5";"CLP";"2026-02-16"
