"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Camboya";"Siem Reap";"Tour privado por Angkor";"https://www.civitatis.com/es/siem-reap/tour-privado-angkor-wat/";"Angkor En Español";"sary@angkorenespanol.com";"+85512941724";"Soeng Sary | Ta Phul, Svay Dankum, Siem Reap, Camboya";"";"122853.47";"282";"3149";"9.3";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Transporte entre el Aeropuerto Internacional de Angkor y Siem Reap";"https://www.civitatis.com/es/siem-reap/transporte-aeropuerto-internacional-angkor-siem-reap/";"Siem Reap Shuttle";"civitatis@siemreapshuttle.com";"+85598555518";"EASY AND FAST | Sivutha Boulevard, Siem Reap, Camboya";"";"8190.23";"12";"120";"9.8";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Cena con espectáculo de danza Apsara";"https://www.civitatis.com/es/siem-reap/cena-espectaculo-danza-apsara/";"Breksa Travel And Experience";"travel.satha@gmail.com";"092219340";"BREKSA TRAVEL AND EXPERIENCE | Chunlong Village, Sala Kamreuk Commune, Siem Reap District, Siem Reap Province, Siem Reap, Camboya";"";"19110.54";"75";"913";"8.7";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Tour privado de 2 días por los templos de Angkor";"https://www.civitatis.com/es/siem-reap/tour-2-dias-angkor/";"Angkor En Español";"sary@angkorenespanol.com";"+85512941724";"Soeng Sary | Ta Phul, Svay Dankum, Siem Reap, Camboya";"";"235696.66";"199";"1922";"9.4";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Tour por los templos de Angkor";"https://www.civitatis.com/es/siem-reap/tour-angkor-wat/";"Angkor En Español";"sary@angkorenespanol.com";"+85512941724";"Soeng Sary | Ta Phul, Svay Dankum, Siem Reap, Camboya";"";"51871.46";"84";"616";"9.5";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Traslados en Siem Reap";"https://www.civitatis.com/es/siem-reap/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"24570.69";"65";"2051";"9.2";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Excursión privada desde Siem Reap";"https://www.civitatis.com/es/siem-reap/excursion-privada-siem-reap/";"Angkor En Español";"sary@angkorenespanol.com";"+85512941724";"Soeng Sary | Ta Phul, Svay Dankum, Siem Reap, Camboya";"";"204755.79";"13";"139";"8.3";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Excursión privada al lago Tonlé Sap";"https://www.civitatis.com/es/siem-reap/excursion-lago-tonle-sap/";"Angkor En Español";"sary@angkorenespanol.com";"+85512941724";"Soeng Sary | Ta Phul, Svay Dankum, Siem Reap, Camboya";"";"136503.86";"16";"246";"9.6";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Tour privado de 3 días por los templos de Angkor";"https://www.civitatis.com/es/siem-reap/tour-3-dias-angkor/";"Angkor En Español";"sary@angkorenespanol.com";"+85512941724";"Soeng Sary | Ta Phul, Svay Dankum, Siem Reap, Camboya";"";"382210.81";"51";"504";"9.0";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Templos de Angkor al amanecer o al atardecer";"https://www.civitatis.com/es/siem-reap/templos-angkor-amanecer-atardecer/";"Siem Reap Shuttle";"civitatis@siemreapshuttle.com";"+85598555518";"EASY AND FAST | Sivutha Boulevard, Siem Reap, Camboya";"";"13650.38";"77";"838";"9.0";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Tour en vespa por el lago Tonlé Sap al atardecer";"https://www.civitatis.com/es/siem-reap/tour-vespa-lago-tonle-sap/";"Tour By Vespa";"hello@vespabackstreet.com";"+855 10 828 189";"CHOENG BUNHOR sole propietor | 40, Bamboo Street, Krong Siem Reap, Siem Reap, Camboya";"";"53236.5";"4";"21";"10.0";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Excursión a Phnom Kulen";"https://www.civitatis.com/es/siem-reap/excursion-phnom-kulen/";"Siem Reap Shuttle";"civitatis@siemreapshuttle.com";"+85598555518";"EASY AND FAST | Sivutha Boulevard, Siem Reap, Camboya";"";"45501.28";"25";"193";"8.4";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Excursión a una aldea tradicional camboyana";"https://www.civitatis.com/es/siem-reap/excursion-pueblo-tradicional-camboya/";"Siem Reap Shuttle";"civitatis@siemreapshuttle.com";"+85598555518";"EASY AND FAST | Sivutha Boulevard, Siem Reap, Camboya";"";"21840.61";"16";"151";"8.0";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Tarjeta eSIM con Internet para Camboya";"https://www.civitatis.com/es/siem-reap/tarjeta-esim-camboya/";"Xplori";"go@xplori.world";"+84852186217";"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China";"";"27755.78";"0";"36";"0.0";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Excursión a Banteay Srei y Preah Khan";"https://www.civitatis.com/es/siem-reap/excursion-kbal-spean-banteay-srei/";"Siem Reap Shuttle";"civitatis@siemreapshuttle.com";"+85598555518";"EASY AND FAST | Sivutha Boulevard, Siem Reap, Camboya";"";"18200.51";"34";"209";"9.5";"CLP";"2026-02-16"
"Camboya";"Siem Reap";"Excursión a Koh Ker";"https://www.civitatis.com/es/siem-reap/excursion-koh-ker/";"Siem Reap Shuttle";"civitatis@siemreapshuttle.com";"+85598555518";"EASY AND FAST | Sivutha Boulevard, Siem Reap, Camboya";"";"45501.28";"33";"209";"9.1";"CLP";"2026-02-16"
