"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Costa Rica";"San José";"Excursión al volcán Arenal + Aguas termales";"https://www.civitatis.com/es/san-jose/volcan-arenal-aguas-termales/";"Expediciones Tropicales";"gsalas@expedicionestropicales.com";"+506 -2257-4171";"Expediciones Tropicales S.A. | Provincia: San José. Cantón: Central. Distrito: El Carmen. Dirección: Avenidas 11 y 13, Calle 3 Bis, Barrio Amón., San José, Costa Rica";"";"186025.9";"117";"1331";"9.1";"CLP";"2026-02-24"
"Costa Rica";"San José";"Tour de 2 o 3 días por el Parque Nacional Tortuguero";"https://www.civitatis.com/es/san-jose/tour-2-3-dias-tortuguero/";"Laguna Lodge Tortuguero";"ventas3@lagunatortuguero.com";"+506 8340 4907";"Kupia Kumi del Tortuguero SA | San Pedro, Barrio Dent., San José, Costa Rica";"";"266637.12";"15";"274";"8.8";"CLP";"2026-02-24"
"Costa Rica";"San José";"Excursión al Parque Nacional Manuel Antonio";"https://www.civitatis.com/es/san-jose/excursion-parque-manuel-antonio/";"Natural Green Destiny Travel Ii";"destinytravelcostarica@gmail.com";"+506 4081 6222";"CORPORACION DTCR S.A. | SAN JOSE-SAN FRANCISCO DE DOS RIOS, LA PACIFICA, CONDOMINIO LA PACIFICA, SETENTA Y CINCO METROS ESTE DE LA SODA OKAYAMA SNACKS, CASA NUMERO UNO A  MAN, San José, Costa Rica";"";"144046.6";"138";"1552";"9.1";"CLP";"2026-02-24"
"Costa Rica";"San José";"Excursión al Parque Nacional Tortuguero";"https://www.civitatis.com/es/san-jose/tour-parque-tortuguero/";"Mta Travel Solutions Costa Rica";"evargas@mikitravel.net";"0050622914455";"Agencia de Viajes Miki S.A. | In front of Hotel Palma Real, Sabana Norte, San José, Costa Rica";"";"145418.47";"83";"1214";"9.2";"CLP";"2026-02-24"
"Costa Rica";"San José";"Free tour por San José";"https://www.civitatis.com/es/san-jose/free-tour-san-jose/";"San José City Striders";"sanjosecitystriders@gmail.com";"+50671912128";"Ronald Amaral Sanchez Salas | Barrio Luja´n 125 sur del PANI altos del Salón de Belleza Elieth, San José, Costa Rica";"";"0.0";"890";"18324";"9.6";"CLP";"2026-02-24"
"Costa Rica";"San José";"Free tour por San José";"https://www.civitatis.com/es/san-jose/free-tour-san-jose/";"David Tours";"dbu2011@yahoo.com";"+50660494358";"David Bejarano Ugalde | San Jose, Costa Rica, San José, Costa Rica";"";"0.0";"890";"18324";"9.6";"CLP";"2026-02-24"
"Costa Rica";"San José";"Excursión a los Jardines de la catarata La Paz";"https://www.civitatis.com/es/san-jose/excursion-catarata-paz/";"Expediciones Tropicales";"gsalas@expedicionestropicales.com";"+506 -2257-4171";"Expediciones Tropicales S.A. | Provincia: San José. Cantón: Central. Distrito: El Carmen. Dirección: Avenidas 11 y 13, Calle 3 Bis, Barrio Amón., San José, Costa Rica";"";"124017.26";"6";"108";"9.7";"CLP";"2026-02-24"
"Costa Rica";"San José";"Traslados en San José";"https://www.civitatis.com/es/san-jose/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"34754.1";"87";"2216";"9.4";"CLP";"2026-02-24"
"Costa Rica";"San José";"Rafting en el río Pacuare";"https://www.civitatis.com/es/san-jose/rafting-rio-pacuare/";"Costa Rica Groups Travel Company";"sales1@costaricagroups.com";"506 2237 4403";"V.C.M. Costa Rica Groups S.A. | Heredia-Costa Rica Calle 14 y 18, Avenida 4 Edificio Avenida 4 oficina 9, San José, Costa Rica";"";"105176.88";"20";"433";"9.6";"CLP";"2026-02-24"
"Costa Rica";"San José";"Volcán Poás, Catarata de La Paz y finca de café";"https://www.civitatis.com/es/san-jose/volcan-poas-catarata-paz-finca-starbucks/";"Costa Rica Itinerary";"costaricaitinerary@gmail.com";"+506 60182280";"Transposiciónes de Turismo y Tecnología para Costa Rica TTTCR S.A | 150 metros oeste de la guardia rural de Río Segundo de Alajuela, Alajuela , Costa Rica";"";"127126.84";"213";"4055";"8.8";"CLP";"2026-02-24"
