"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Ecuador";"Quito";"Excursión a Baños de Agua Santa";"https://www.civitatis.com/es/quito/excursion-banos-agua-santa/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"59447.8";"108";"1031";"9.1";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a Cotopaxi y el mirador de Quilotoa";"https://www.civitatis.com/es/quito/excursion-cotopaxi-quilotoa/";"Overland Adventure";"gerencia@overladventure.com";"+593 98 188 4297";"OVERLAND ADVENTURE OVERLANDECUADOR S.A.S | manuel cornejo E5-105 y simon cardenas, Quito, Ecuador";"";"76824.85";"243";"2142";"8.9";"CLP";"2026-02-24"
"Ecuador";"Quito";"Free tour por Quito";"https://www.civitatis.com/es/quito/free-tour-quito/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"0.0";"784";"12621";"9.7";"CLP";"2026-02-24"
"Ecuador";"Quito";"Free tour por Quito";"https://www.civitatis.com/es/quito/free-tour-quito/";"Kunakkuna Experiences";"kunakkuna.experiences@gmail.com";"0963237172";"Grace Belén Ribadeneira López | Leonidas Plaza 24-54 y Wilson, Quito, Ecuador";"";"0.0";"784";"12621";"9.7";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a Otavalo";"https://www.civitatis.com/es/quito/excursion-mercados-otavalo-cotacachi/";"Liv Ecuador";"ana.paez@liv.ec";"+593 994794299";"Proactivo Capital Group, LLC | 3029 NE 188th Street # 604, Miami, Estados Unidos";"";"63106.13";"65";"462";"9.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Traslados en Quito";"https://www.civitatis.com/es/quito/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"36583.26";"82";"1411";"8.8";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a las termas de Papallacta";"https://www.civitatis.com/es/quito/excursion-termas-papallacta/";"Jhonny El Guía Tours";"jonathan.steven290@hotmail.com";"+593 98 329 0399";"Jonathan Chango | Santa Barbara Baja, Shagli Lote 25, Quito, Ecuador";"";"59447.8";"11";"97";"9.6";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a Mindo";"https://www.civitatis.com/es/quito/excursion-mindo/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"59447.8";"25";"352";"9.2";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a la Mitad del Mundo";"https://www.civitatis.com/es/quito/excursion-mitad-mundo/";"Liv Ecuador";"ana.paez@liv.ec";"+593 994794299";"Proactivo Capital Group, LLC | 3029 NE 188th Street # 604, Miami, Estados Unidos";"";"35668.68";"116";"1693";"8.5";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a la Mitad del Mundo";"https://www.civitatis.com/es/quito/excursion-mitad-mundo/";"Global Land Tour Globaland Cia Ltda";"management@globallandtour.com";"593999712102";"GLOBAL LAND TOUR GLOBALAND CIA. LTDA. | Vicente Ramón Roca E4-49 y Av. Amazonas, Quito, Ecuador";"";"35668.68";"116";"1693";"8.5";"CLP";"2026-02-24"
"Ecuador";"Quito";"Autobús turístico de Quito";"https://www.civitatis.com/es/quito/autobus-turistico-quito/";"Quito Tour Bus";"dcarrasco@quindetour.com";"0983359796";"Quindetour Cia. Ltda | Paris N41-43 entre Granados y Pinzón - Quito - Ecuador, Quito, Ecuador";"";"13718.72";"15";"309";"7.3";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión al volcán Chimborazo";"https://www.civitatis.com/es/quito/excursion-volcan-chimborazo/";"Quilla Tours Ec";"robert_balc@hotmail.com";"+593 995035835";"BALSECA MEJIA ROBERTO DANIEL | 12 de octubre y veintimilla, Quito, Ecuador";"";"64020.71";"0";"48";"0.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Free tour gastronómico por Quito";"https://www.civitatis.com/es/quito/free-tour-gastronomico-quito/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"0.0";"9";"217";"9.8";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour por la Mitad del Mundo y el Museo Intiñan + Teleférico";"https://www.civitatis.com/es/quito/tour-mitad-mundo-intinan-teleferico/";"Quilla Tours Ec";"robert_balc@hotmail.com";"+593 995035835";"BALSECA MEJIA ROBERTO DANIEL | 12 de octubre y veintimilla, Quito, Ecuador";"";"59447.8";"76";"505";"9.7";"CLP";"2026-02-24"
"Ecuador";"Quito";"Trekking por el volcán Cotopaxi";"https://www.civitatis.com/es/quito/trekking-volcan-cotopaxi/";"Quinana Tours";"quinanatours@gmail.com";"+593 999840991";"JUSTIN FERNANDO BASANTES ANCHATIPAN | Quito Colonial, Rocafuerte y Cuenca, Quito, Ecuador";"";"64020.71";"14";"179";"8.6";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour de Quito al completo";"https://www.civitatis.com/es/quito/tour-quito-completo/";"Overland Adventure";"gerencia@overladventure.com";"+593 98 188 4297";"OVERLAND ADVENTURE OVERLANDECUADOR S.A.S | manuel cornejo E5-105 y simon cardenas, Quito, Ecuador";"";"69233.82";"10";"191";"9.8";"CLP";"2026-02-24"
"Ecuador";"Quito";"Free tour de compras por Quito";"https://www.civitatis.com/es/quito/free-tour-compras-quito/";"Kunakkuna Experiences";"kunakkuna.experiences@gmail.com";"0963237172";"Grace Belén Ribadeneira López | Leonidas Plaza 24-54 y Wilson, Quito, Ecuador";"";"0.0";"20";"404";"8.9";"CLP";"2026-02-24"
"Ecuador";"Quito";"Free tour de las mujeres ilustres de Ecuador";"https://www.civitatis.com/es/quito/free-tour-mujeres-ecuador/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"0.0";"10";"195";"9.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a las comunidades andinas del Quilotoa";"https://www.civitatis.com/es/quito/excursion-comunidades-andinas-quilotoa/";"Quinana Tours";"quinanatours@gmail.com";"+593 999840991";"JUSTIN FERNANDO BASANTES ANCHATIPAN | Quito Colonial, Rocafuerte y Cuenca, Quito, Ecuador";"";"64020.71";"14";"131";"9.9";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a Cruz Loma + Teleférico";"https://www.civitatis.com/es/quito/excursion-cruz-loma-teleferiqo/";"Kunakkuna Experiences";"kunakkuna.experiences@gmail.com";"0963237172";"Grace Belén Ribadeneira López | Leonidas Plaza 24-54 y Wilson, Quito, Ecuador";"";"59447.8";"9";"79";"9.6";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a Baeza y Puerto Misahuallí";"https://www.civitatis.com/es/quito/excursion-baeza-puerto-misahualli/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"73166.53";"5";"52";"9.2";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour de 2 días por la Avenida de los Volcanes";"https://www.civitatis.com/es/quito/tour-2-dias-avenida-volcanes/";"Quilla Tours Ec";"robert_balc@hotmail.com";"+593 995035835";"BALSECA MEJIA ROBERTO DANIEL | 12 de octubre y veintimilla, Quito, Ecuador";"";"164624.69";"9";"48";"8.9";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour nocturno en patinete eléctrico por Quito";"https://www.civitatis.com/es/quito/tour-nocturno-patinete-electrico-quito/";"Navel Expeditions";"navelexpeditions@gmail.com";"593961790030";"Miguel Gordillo Jaramillo | VICENTE RAMON ROCA E8-57, AV. 6 DE DICIEMBRE, Quito, Ecuador";"";"32924.93";"8";"38";"9.8";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión al Parque Nacional Cayambe y Cueva de los Tayos";"https://www.civitatis.com/es/quito/excursion-parque-cayambe-cueva-tayos/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"86885.25";"0";"38";"0.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour privado por Quito";"https://www.civitatis.com/es/quito/tour-privado-quito/";"Pamtours";"pamtour@pamtour.com";"+593999459911";"PAMELA TOURS CIA LTDA | Luis Cordero E4-311, Quito, Ecuador";"";"155478.87";"3";"32";"9.3";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión al Museo Solar Intiñán";"https://www.civitatis.com/es/quito/excursion-museo-solar-intinan/";"Guidecuador Travel Sas";"info@guidecuador.com";"593998734255";"Marco Alejandro Jacome Mosquera | Pasaje Miguel Angel y John F Kennedy, Quito, Ecuador";"";"64020.71";"0";"32";"0.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour por las iglesias de Quito con subida a las cúpulas";"https://www.civitatis.com/es/quito/tour-iglesias-quito-subida-cupulas/";"Kunakkuna Experiences";"kunakkuna.experiences@gmail.com";"0963237172";"Grace Belén Ribadeneira López | Leonidas Plaza 24-54 y Wilson, Quito, Ecuador";"";"32010.35";"3";"24";"9.3";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión a la provincia de Santo Domingo de los Tsáchilas";"https://www.civitatis.com/es/quito/excursion-santo-domingo-tsachilas/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"59447.8";"0";"25";"0.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión al Parque Nacional Antisana";"https://www.civitatis.com/es/quito/excursion-parque-antisana/";"Quinana Tours";"quinanatours@gmail.com";"+593 999840991";"JUSTIN FERNANDO BASANTES ANCHATIPAN | Quito Colonial, Rocafuerte y Cuenca, Quito, Ecuador";"";"86885.25";"3";"21";"10.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour de aventura en Quito";"https://www.civitatis.com/es/quito/tour-aventura-quito/";"Quito Tour Bus";"dcarrasco@quindetour.com";"0983359796";"Quindetour Cia. Ltda | Paris N41-43 entre Granados y Pinzón - Quito - Ecuador, Quito, Ecuador";"";"50301.98";"1";"14";"10.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour de 2 días por Misahuallí";"https://www.civitatis.com/es/quito/tour-3-dias-misahualli/";"Quilla Tours Ec";"robert_balc@hotmail.com";"+593 995035835";"BALSECA MEJIA ROBERTO DANIEL | 12 de octubre y veintimilla, Quito, Ecuador";"";"201207.95";"4";"118";"8.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Excursión al Gran Cañón de Cotundo";"https://www.civitatis.com/es/quito/excursion-gran-canon-cotundo/";"Johan Caruci";"johancaruci@gmail.com";"+593 963136972";"Johan Caruci | Díaz de la Madrid 157 y Francisco Lizarazu, Quito, Ecuador";"";"86885.25";"0";"17";"0.0";"CLP";"2026-02-24"
"Ecuador";"Quito";"Tour de comida callejera por Quito";"https://www.civitatis.com/es/quito/tour-comida-callejera-quito/";"Kunakkuna Experiences";"kunakkuna.experiences@gmail.com";"0963237172";"Grace Belén Ribadeneira López | Leonidas Plaza 24-54 y Wilson, Quito, Ecuador";"";"54874.89";"3";"17";"10.0";"CLP";"2026-02-24"
