"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Egipto";"El Cairo";"Tour por El Cairo al completo con entradas";"https://www.civitatis.com/es/el-cairo/tour-el-cairo/";"Dunas Travel";"ali.mansy@dunas-travel.com";"+2 01090454898";"Dunas Travel | 5 Hussein Said St, Old Hadayk El Ahram First floor Flat 102 – 103 Haram - Giza – Egypt 02 33746643- 0233746654, El Harm – Giza , Egipto";"";"59603.96";"1803";"20167";"8.9";"CLP";"2026-02-16"
"Egipto";"El Cairo";"Pirámides de Giza, Menfis y Saqqara";"https://www.civitatis.com/es/el-cairo/piramides-giza-menfis-saqqara/";"Dunas Travel";"ali.mansy@dunas-travel.com";"+2 01090454898";"Dunas Travel | 5 Hussein Said St, Old Hadayk El Ahram First floor Flat 102 – 103 Haram - Giza – Egypt 02 33746643- 0233746654, El Harm – Giza , Egipto";"";"70185.82";"1381";"26061";"8.6";"CLP";"2026-02-16"
"Egipto";"El Cairo";"Tour por el Gran Museo Egipcio";"https://www.civitatis.com/es/el-cairo/tour-gran-museo-egipcio/";"Dunas Travel";"ali.mansy@dunas-travel.com";"+2 01090454898";"Dunas Travel | 5 Hussein Said St, Old Hadayk El Ahram First floor Flat 102 – 103 Haram - Giza – Egypt 02 33746643- 0233746654, El Harm – Giza , Egipto";"";"59388.0";"314";"4511";"8.2";"CLP";"2026-02-16"
"Egipto";"El Cairo";"Egipto al completo, 8 días con todo incluido";"https://www.civitatis.com/es/el-cairo/circuito-8-dias-egipto/";"Dunas Travel";"ali.mansy@dunas-travel.com";"+2 01090454898";"Dunas Travel | 5 Hussein Said St, Old Hadayk El Ahram First floor Flat 102 – 103 Haram - Giza – Egypt 02 33746643- 0233746654, El Harm – Giza , Egipto";"";"1263344.88";"2265";"21353";"8.0";"CLP";"2026-02-16"
"Egipto";"El Cairo";"Traslados en El Cairo";"https://www.civitatis.com/es/el-cairo/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"18032.35";"719";"11953";"8.1";"CLP";"2026-02-16"
"Egipto";"El Cairo";"Excursión a Alejandría";"https://www.civitatis.com/es/el-cairo/excursion-alejandria/";"Dunas Travel";"ali.mansy@dunas-travel.com";"+2 01090454898";"Dunas Travel | 5 Hussein Said St, Old Hadayk El Ahram First floor Flat 102 – 103 Haram - Giza – Egypt 02 33746643- 0233746654, El Harm – Giza , Egipto";"";"77744.3";"537";"5770";"8.0";"CLP";"2026-02-16"
"Egipto";"El Cairo";"Tour por El Cairo islámico";"https://www.civitatis.com/es/el-cairo/tour-cairo-islamico/";"Oceanair Travels";"support@oceanairtravels.com";"00971554030943";"OCEANAIR TRAVEL & TOURISM LLC | shop#2, Al Nasr palace Shop #2, Oudmetha, Oudmetha, Emiratos Árabes Unidos";"";"23205.65";"41";"377";"8.8";"CLP";"2026-02-16"
"Egipto";"El Cairo";"El Cairo + Pirámides de Giza en un día";"https://www.civitatis.com/es/el-cairo/cairo-piramides-1-dia/";"Dunas Travel";"ali.mansy@dunas-travel.com";"+2 01090454898";"Dunas Travel | 5 Hussein Said St, Old Hadayk El Ahram First floor Flat 102 – 103 Haram - Giza – Egypt 02 33746643- 0233746654, El Harm – Giza , Egipto";"";"65650.74";"397";"4265";"9.0";"CLP";"2026-02-16"
"Egipto";"El Cairo";"Crucero por el Nilo con cena y espectáculo";"https://www.civitatis.com/es/el-cairo/crucero-nilo-cena-espectaculo/";"Dunas Travel";"ali.mansy@dunas-travel.com";"+2 01090454898";"Dunas Travel | 5 Hussein Said St, Old Hadayk El Ahram First floor Flat 102 – 103 Haram - Giza – Egypt 02 33746643- 0233746654, El Harm – Giza , Egipto";"";"46646.58";"312";"4232";"8.4";"CLP";"2026-02-16"
"Egipto";"El Cairo";"Egipto al completo + Mar Rojo, 11 días con todo incluido";"https://www.civitatis.com/es/el-cairo/circuito-11-dias-egipto-mar-rojo/";"Dunas Travel";"ali.mansy@dunas-travel.com";"+2 01090454898";"Dunas Travel | 5 Hussein Said St, Old Hadayk El Ahram First floor Flat 102 – 103 Haram - Giza – Egypt 02 33746643- 0233746654, El Harm – Giza , Egipto";"";"1436109.99";"787";"7566";"8.0";"CLP";"2026-02-16"
