"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"El Salvador";"San Salvador";"Excursión al Parque Nacional El Boquerón";"https://www.civitatis.com/es/san-salvador/excursion-parque-nacional-boqueron/";"Dolphins Tour";"raulcastro@delfinestour.net";"+503 2604-0014";"Raúl Gilberto Castro Gomez | Tercera calle oriente 5º avenida norte nº 3-6, Barrio el Centro, La Unión., El Salvador, El Salvador";"";"54874.89";"7";"124";"10.0";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Excursión por la Ruta Maya";"https://www.civitatis.com/es/san-salvador/excursion-ruta-maya/";"Salvadorean Tours";"bookings@salvadoreantours.com";"+503 78547310";"SALVADOREAN TOURS, S.A. DE C.V. | Centro Comercial Feria Rosa 1ra. Planta Local 101-B,  San Salvador, El Salvador, C.A., San Salvador, El Salvador";"";"90543.58";"31";"218";"9.7";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Free tour por San Salvador";"https://www.civitatis.com/es/san-salvador/free-tour-san-salvador/";"Traveling Souls";"elsalvador@travelingsouls.tours";"76446685";"TRAVELING SOULS, SOCIEDAD POR ACCIONES SIMPLIFICADA DE CAPITAL VARIABLE | RES EL PORVENIR, SENDA 2, SAN JACINTO, B17, San Salvador, El Salvador";"";"0.0";"104";"1797";"9.6";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Free tour por San Salvador";"https://www.civitatis.com/es/san-salvador/free-tour-san-salvador/";"Dave Mendez Tours";"davespurgeon2024@gmail.com";"63164253";"DAVID ALFREDO CORNEJO MENDEZ | calle principal, colonia santa paula, san marcos., San Salvador, El Salvador";"";"0.0";"104";"1797";"9.6";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Tour panorámico por San Salvador";"https://www.civitatis.com/es/san-salvador/visita-guiada-san-salvador/";"Dolphins Tour";"raulcastro@delfinestour.net";"+503 2604-0014";"Raúl Gilberto Castro Gomez | Tercera calle oriente 5º avenida norte nº 3-6, Barrio el Centro, La Unión., El Salvador, El Salvador";"";"44814.49";"18";"604";"9.3";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Tour por la Ruta de las Flores de El Salvador";"https://www.civitatis.com/es/san-salvador/tour-ruta-flores-salvador/";"Salvadorean Tours";"bookings@salvadoreantours.com";"+503 78547310";"SALVADOREAN TOURS, S.A. DE C.V. | Centro Comercial Feria Rosa 1ra. Planta Local 101-B,  San Salvador, El Salvador, C.A., San Salvador, El Salvador";"";"86885.25";"29";"221";"9.2";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Excursión a las islas del Golfo de Fonseca";"https://www.civitatis.com/es/san-salvador/excursion-islas-golfo-fonseca/";"Dolphins Tour";"raulcastro@delfinestour.net";"+503 2604-0014";"Raúl Gilberto Castro Gomez | Tercera calle oriente 5º avenida norte nº 3-6, Barrio el Centro, La Unión., El Salvador, El Salvador";"";"43899.91";"17";"145";"8.8";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Traslados en San Salvador";"https://www.civitatis.com/es/san-salvador/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"66764.45";"36";"1194";"8.8";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Excursión a Suchitoto";"https://www.civitatis.com/es/san-salvador/excursion-suchitoto/";"Salvadorean Tours";"bookings@salvadoreantours.com";"+503 78547310";"SALVADOREAN TOURS, S.A. DE C.V. | Centro Comercial Feria Rosa 1ra. Planta Local 101-B,  San Salvador, El Salvador, C.A., San Salvador, El Salvador";"";"68593.62";"8";"67";"9.3";"CLP";"2026-02-24"
"El Salvador";"San Salvador";"Excursión al Cerro Verde + Ruinas mayas";"https://www.civitatis.com/es/san-salvador/cerro-verde-ruinas-mayas/";"Salvadorean Tours";"bookings@salvadoreantours.com";"+503 78547310";"SALVADOREAN TOURS, S.A. DE C.V. | Centro Comercial Feria Rosa 1ra. Planta Local 101-B,  San Salvador, El Salvador, C.A., San Salvador, El Salvador";"";"90543.58";"7";"75";"9.4";"CLP";"2026-02-24"
