"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Eslovaquia";"Bratislava";"Free tour por Bratislava";"https://www.civitatis.com/es/bratislava/free-tour-bratislava/";"Explora Bratislava Tours";"explorabratislava@gmail.com";"+34657139532";"Julian Carpio Exposito | Karpatské námastie  7770/10A, Bratislava, Bratislava, Eslovaquia";"";"0.0";"5994";"121871";"9.3";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Free tour por Bratislava";"https://www.civitatis.com/es/bratislava/free-tour-bratislava/";"Brava Tours";"bravatoursinfo@gmail.com";"+421 947 119 154";"Martin Habčak - BraVa Tours | Rovniankova 1688/18, Bratislava-Petržalka, Bratislava, Eslovaquia";"";"0.0";"5994";"121871";"9.3";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Free tour por el castillo y la catedral de Bratislava";"https://www.civitatis.com/es/bratislava/free-tour-castillo-catedral-bratislava/";"Explora Bratislava Tours";"explorabratislava@gmail.com";"+34657139532";"Julian Carpio Exposito | Karpatské námastie  7770/10A, Bratislava, Bratislava, Eslovaquia";"";"0.0";"1346";"22987";"9.4";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Tour privado por Bratislava";"https://www.civitatis.com/es/bratislava/tour-privado-bratislava/";"Bratislava Sightseeing";"info@bratislavasightseeing.com";"+421 907683112";"LUKA TOURS s.r.o | Pri Suchom mlyne 84, Bratislava, Eslovaquia";"";"124174.92";"121";"2686";"9.3";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Free tour de los misterios y leyendas de Bratislava";"https://www.civitatis.com/es/bratislava/free-tour-misterios-leyendas-bratislava/";"Brava Tours";"bravatoursinfo@gmail.com";"+421 947 119 154";"Martin Habčak - BraVa Tours | Rovniankova 1688/18, Bratislava-Petržalka, Bratislava, Eslovaquia";"";"0.0";"175";"3659";"9.3";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Tour de Bratislava al completo";"https://www.civitatis.com/es/bratislava/visita-guiada-bratislava/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"126334.48";"8";"65";"9.5";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Traslados en Bratislava";"https://www.civitatis.com/es/bratislava/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"38872.15";"122";"2081";"8.7";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Free tour de la Segunda Guerra Mundial y el comunismo";"https://www.civitatis.com/es/bratislava/free-tour-segunda-guerra-mundial-comunismo/";"Discover Bratislava";"hanzija@gmail.com";"+421949425703";"Jakub Hanzel | Frantiskanske Namestie, Bratislava, Eslovaquia";"";"0.0";"67";"1687";"9.1";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Tren turístico de Bratislava";"https://www.civitatis.com/es/bratislava/tren-turistico-bratislava/";"Tour4U";"info@tour4u.sk";"+ 421 903 302 817";"TOUR4U s.r.o. | Sikmá 4, 821 06, Bratislava, Eslovaquia";"";"19436.07";"170";"2482";"8.6";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Cata de vinos en Bratislava";"https://www.civitatis.com/es/bratislava/cata-vinos-bratislava/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"19436.07";"13";"95";"8.2";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Bratislava Card";"https://www.civitatis.com/es/bratislava/bratislava-card/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"32393.45";"3";"98";"9.3";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Degustación de pasteles eslovacos en Bratislava";"https://www.civitatis.com/es/bratislava/degustacion-pasteles-eslovacos-bratislava/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"15116.94";"14";"77";"6.1";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Entrada a Gallery Multium";"https://www.civitatis.com/es/bratislava/entrada-gallery-multium/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"7018.58";"11";"206";"7.1";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Excursión a Cicmany + Baños termales de Rajecké Teplice";"https://www.civitatis.com/es/bratislava/excursion-cicmany-banos-rajecke-teplice/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"235392.46";"2";"15";"10.0";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Excursión a Zilina y el Parque Nacional Mala Fatra";"https://www.civitatis.com/es/bratislava/excursion-zilina-mala-fatra/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"237552.02";"2";"16";"9.0";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Cata de cerveza artesanal en Bratislava";"https://www.civitatis.com/es/bratislava/cata-cerveza-artesanal/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"76664.51";"5";"32";"4.8";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Comida tradicional eslovaca en el Zylinder Cafe";"https://www.civitatis.com/es/bratislava/comida-eslovaca-zylinder-cafe/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"61547.57";"0";"11";"0.0";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Excursión a Trnava en tren";"https://www.civitatis.com/es/bratislava/excursion-trnava/";"E-Travel.sk";"astanik@e-travel.sk";"+ 421 903 662 396";"E-TRAVEL.SK s.r.o. | Nam Sv Floriana 25, Varin, Eslovaquia";"";"63707.13";"0";"7";"0.0";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Visita guiada por los castillos de Bratislava";"https://www.civitatis.com/es/bratislava/visita-guiada-castillos-bratislava/";"Bratislava Sightseeing";"info@bratislavasightseeing.com";"+421 907683112";"LUKA TOURS s.r.o | Pri Suchom mlyne 84, Bratislava, Eslovaquia";"";"48590.18";"47";"496";"8.9";"CLP";"2026-02-16"
"Eslovaquia";"Bratislava";"Ruta del vino y castillo Červený Kameň";"https://www.civitatis.com/es/bratislava/excursion-castillo-cerveny-kamen/";"Bratislava Sightseeing";"info@bratislavasightseeing.com";"+421 907683112";"LUKA TOURS s.r.o | Pri Suchom mlyne 84, Bratislava, Eslovaquia";"";"145770.56";"22";"208";"8.8";"CLP";"2026-02-16"
