"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Eslovenia";"Liubliana";"Free tour por Liubliana";"https://www.civitatis.com/es/liubliana/free-tour-liubliana/";"Blue Guides";"blue.guides.slovenia@gmail.com";"+38641360387";"Blue Guides | Vojkova cesta 58, Liubliana, Eslovenia";"";"0.0";"1755";"68444";"9.3";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Free tour por Liubliana";"https://www.civitatis.com/es/liubliana/free-tour-liubliana/";"Artur Diniz Ramos Junior";"Artur.xunior@gmail.com";"+38670666679";"Artur Diniz Ramos Junior s.p. | Preglov Trg 7, Liubliana, Eslovenia";"";"0.0";"1755";"68444";"9.3";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Excursión a Bled";"https://www.civitatis.com/es/liubliana/excursion-bled/";"Blue Guides";"blue.guides.slovenia@gmail.com";"+38641360387";"Blue Guides | Vojkova cesta 58, Liubliana, Eslovenia";"";"70185.82";"87";"722";"8.6";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Excursión al Valle del Soča";"https://www.civitatis.com/es/liubliana/excursion-valle-soca/";"Blue Guides";"blue.guides.slovenia@gmail.com";"+38641360387";"Blue Guides | Vojkova cesta 58, Liubliana, Eslovenia";"";"140371.65";"16";"118";"9.1";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Excursión a la cueva Postojna y el castillo de Predjama";"https://www.civitatis.com/es/liubliana/excursion-postojna-predjama/";"Blue Guides";"blue.guides.slovenia@gmail.com";"+38641360387";"Blue Guides | Vojkova cesta 58, Liubliana, Eslovenia";"";"70185.82";"128";"917";"9.1";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Ljubljana Card";"https://www.civitatis.com/es/liubliana/ljubljana-card/";"Turizem Ljubljana";"danijel.omerzel@visitljubljana.si";"+386 01 306 45 28";"Ljubljana Tourism | Krekov trg 10, Liubliana, Eslovenia";"";"46430.62";"8";"120";"9.0";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Excursión a Bled, la cueva Postojna y el castillo de Predjama";"https://www.civitatis.com/es/liubliana/excursion-bled-postojna-predjama/";"Roundabout Travel";"info@travelroundabout.com";"+386 51601601";"Roundabout d.o.o. | PODMILŠČAKOVA ULICA 24, Liubliana, Eslovenia";"";"172765.11";"154";"1357";"9.1";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Traslados en Liubliana";"https://www.civitatis.com/es/liubliana/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"43731.16";"92";"983";"8.8";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Tour privado por Liubliana";"https://www.civitatis.com/es/liubliana/tour-privado-liubliana/";"Roundabout Travel";"info@travelroundabout.com";"+386 51601601";"Roundabout d.o.o. | PODMILŠČAKOVA ULICA 24, Liubliana, Eslovenia";"";"237552.02";"9";"384";"9.3";"CLP";"2026-02-16"
"Eslovenia";"Liubliana";"Cena con espectáculo folclórico en Liubliana";"https://www.civitatis.com/es/liubliana/cena-espectaculo-folclorico/";"Traditional Slovenian Evening";"enjoy@slovenian-evening.com";"0038641209653";"Židana Marela d.o.o. | Vrhovci cesta X/28, Liubliana, Eslovenia";"";"70185.82";"12";"512";"7.2";"CLP";"2026-02-16"
