destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Lalibela ,Etiopía,Tour de 3 días por las iglesias de Lalibela,"359.352,39 CL$",CLP,Sin valorar,13 viajeros,Dan Lalibela Tours,danielshewalem@gmail.com,+215911054296,"Daniel Shewalem Berga | Lalibela, Lalibela , Etiopía",https://www.civitatis.com/es/lalibela/tour-3-dias-iglesias-lalibela/,2026-02-02
Lalibela ,Etiopía,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Adís Abeba,Etiopía,Tour privado por Adís Abeba,"76.515,98 CL$",CLP,2 opiniones,24 viajeros,Majesty Ethiopia Tour And Travel,bgirma8@gmail.com,+251913421679,"BEKA GIRMA TAFESSE | Godena Guna street, Mekelle, Mekelle, Etiopía",https://www.civitatis.com/es/adis-abeba/tour-privado-adis-abeba/,2026-02-02
Adís Abeba,Etiopía,Tour privado de 9 días por el norte de Etiopía,"4.642.095,86 CL$",CLP,Sin valorar,,Dan Lalibela Tours,danielshewalem@gmail.com,+215911054296,"Daniel Shewalem Berga | Lalibela, Lalibela , Etiopía",https://www.civitatis.com/es/adis-abeba/tour-9-dias-norte-etiopia/,2026-02-02
Adís Abeba,Etiopía,Tour privado de 9 días por el sur de Etiopía,"9.361.590,71 CL$",CLP,Sin valorar,,Dan Lalibela Tours,danielshewalem@gmail.com,+215911054296,"Daniel Shewalem Berga | Lalibela, Lalibela , Etiopía",https://www.civitatis.com/es/adis-abeba/9-dias-sur-etiopia/,2026-02-02
Adís Abeba,Etiopía,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Gondar,Etiopía,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Dinsho,Etiopía,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Shashamane,Etiopía,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Bahir Dar,Etiopía,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
