"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Georgia";"Tiflis";"Excursión a Armenia y sus monasterios";"https://www.civitatis.com/es/tiflis/excursion-armenia/";"Gamarjoba Georgia Tours";"gamarjobageorgiatours1@gmail.com";"+995 595 09 94 42";"LLC Gamarjoba Georgia | 10 Tsinandali street, Tiflis, Georgia";"";"53691.51";"37";"264";"9.4";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Excursión a Mtskheta, Uplistsikhe y Gori";"https://www.civitatis.com/es/tiflis/excursion-mtskheta-uplistsikhe-gori/";"Gamarjoba Georgia Tours";"gamarjobageorgiatours1@gmail.com";"+995 595 09 94 42";"LLC Gamarjoba Georgia | 10 Tsinandali street, Tiflis, Georgia";"";"26390.74";"106";"738";"9.5";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Excursión a Kazbegi y Ananuri";"https://www.civitatis.com/es/tiflis/excursion-kazbegi-ananuri/";"Gamarjoba Georgia Tours";"gamarjobageorgiatours1@gmail.com";"+995 595 09 94 42";"LLC Gamarjoba Georgia | 10 Tsinandali street, Tiflis, Georgia";"";"26390.74";"61";"640";"9.3";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Visita guiada por Tiflis";"https://www.civitatis.com/es/tiflis/visita-guiada-tiflis/";"Views Georgia Tours";"teonakatsitadze8@gmail.com";"+995500053134";"Views Georgia Tours | gagarini street 6a, Tiflis, Georgia";"";"17290.48";"28";"208";"9.9";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Tour por Kajetia con degustación de vino";"https://www.civitatis.com/es/tiflis/tour-kajetia-degustacion-vino/";"Gamarjoba Georgia Tours";"gamarjobageorgiatours1@gmail.com";"+995 595 09 94 42";"LLC Gamarjoba Georgia | 10 Tsinandali street, Tiflis, Georgia";"";"26390.74";"23";"153";"9.7";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Traslados en Tiflis";"https://www.civitatis.com/es/tiflis/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"36712.58";"10";"138";"9.4";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Excursión a Borjomi y Vardzia";"https://www.civitatis.com/es/tiflis/excursion-borjomi-vardzia-castillo-rabati/";"World Sightseeing Tour";"welcome@wst.ge";"+995 322 43 88 08";"SEA LLC | kote abkhazi 44, Tiflis, Georgia";"";"37311.05";"19";"188";"6.9";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Excursión al monasterio David Gareja y montañas Arco Iris";"https://www.civitatis.com/es/tiflis/david-gareja-montanas-arco-iris/";"Gamarjoba Georgia Tours";"gamarjobageorgiatours1@gmail.com";"+995 595 09 94 42";"LLC Gamarjoba Georgia | 10 Tsinandali street, Tiflis, Georgia";"";"35491.0";"19";"140";"8.7";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Tour privado por Tiflis";"https://www.civitatis.com/es/tiflis/tour-privado-tiflis/";"Georgian Insider";"irina@georgianinsider.com";"+995 598 866 866";"Georgian Insider LLC | av, A.Tsereteli N116, Tiflis, Georgia";"";"148470.01";"16";"95";"9.6";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Excursión a Mtskheta";"https://www.civitatis.com/es/tiflis/excursion-mtskheta/";"World Sightseeing Tour";"welcome@wst.ge";"+995 322 43 88 08";"SEA LLC | kote abkhazi 44, Tiflis, Georgia";"";"17290.48";"13";"94";"7.5";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Excursión privada desde Tiflis";"https://www.civitatis.com/es/tiflis/excursion-privada-tiflis/";"Georgian Insider";"irina@georgianinsider.com";"+995 598 866 866";"Georgian Insider LLC | av, A.Tsereteli N116, Tiflis, Georgia";"";"250509.41";"5";"64";"10.0";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Paseo en barco por Tiflis";"https://www.civitatis.com/es/tiflis/paseo-barco-tiflis/";"World Sightseeing Tour";"welcome@wst.ge";"+995 322 43 88 08";"SEA LLC | kote abkhazi 44, Tiflis, Georgia";"";"12740.36";"5";"70";"8.4";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Tour privado por el monasterio David Gareja y montañas Arco Iris";"https://www.civitatis.com/es/tiflis/4x4-david-gareja-montanas-arco-iris/";"Friendly.ge Transfers & Tours In Georgia";"friendlygeorg@gmail.com";"+995 599 044 390";"Aleksandr Zhavoronkov (ალექსანდრ ჟავორონკოვ) | Dadiani 07, Tiflis, Georgia";"";"345809.78";"3";"17";"9.3";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Espectáculo de baile tradicional con cena";"https://www.civitatis.com/es/tiflis/espectaculo-baile-tradicional-cena/";"Georgian Insider";"irina@georgianinsider.com";"+995 598 866 866";"Georgian Insider LLC | av, A.Tsereteli N116, Tiflis, Georgia";"";"226754.2";"9";"74";"7.1";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Pub Crawl ¡Tour de fiesta por Tiflis!";"https://www.civitatis.com/es/tiflis/pub-crawl-tiflis/";"City Pub Crawl Tbilisi";"tbilisicitypubcrawl@gmail.com";"598147617";"Individual Entrepreneur OLEG MELNIKOV | 27 Davit Aghmashenebeli Ave, 8, Tiflis, Georgia";"";"26390.74";"0";"12";"0.0";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Autobús y barco turístico de Tiflis + Mtskheta";"https://www.civitatis.com/es/tiflis/autobus-barco-turistico-tiflis-mtskheta/";"World Sightseeing Tour";"welcome@wst.ge";"+995 322 43 88 08";"SEA LLC | kote abkhazi 44, Tiflis, Georgia";"";"43681.23";"2";"10";"10.0";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Tour alternativo privado por Tiflis";"https://www.civitatis.com/es/tiflis/tour-alternativo-tiflis/";"Friendly.ge Transfers & Tours In Georgia";"friendlygeorg@gmail.com";"+995 599 044 390";"Aleksandr Zhavoronkov (ალექსანდრ ჟავორონკოვ) | Dadiani 07, Tiflis, Georgia";"";"86452.44";"1";"4";"10.0";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Tour panorámico por Tiflis";"https://www.civitatis.com/es/tiflis/tour-panoramico-tiflis/";"World Sightseeing Tour";"welcome@wst.ge";"+995 322 43 88 08";"SEA LLC | kote abkhazi 44, Tiflis, Georgia";"";"17290.48";"0";"28";"0.0";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Autobús turístico de Tiflis";"https://www.civitatis.com/es/tiflis/autobus-turistico-tiflis/";"World Sightseeing Tour";"welcome@wst.ge";"+995 322 43 88 08";"SEA LLC | kote abkhazi 44, Tiflis, Georgia";"";"20930.59";"1";"21";"8.0";"CLP";"2026-02-16"
"Georgia";"Tiflis";"Excursión al Pilar Katskhi, Chiatura y convento Mgvimevi";"https://www.civitatis.com/es/tiflis/pilar-katskhi-chiatura-convento-mgvimevi/";"Gamarjoba Georgia Tours";"gamarjobageorgiatours1@gmail.com";"+995 595 09 94 42";"LLC Gamarjoba Georgia | 10 Tsinandali street, Tiflis, Georgia";"";"197475.58";"1";"2";"10.0";"CLP";"2026-02-16"
