"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Guatemala";"Flores";"Excursión a Tikal con entradas";"https://www.civitatis.com/es/flores/excursion-tikal/";"Tikal Go";"info@tikalgo.com";"+502 569 04 706";"Tikal Go inc | 185 Southeast 14th Terrace, 903, Miami, Estados Unidos";"";"109658.33";"83";"716";"9.4";"CLP";"2026-02-24"
"Guatemala";"Flores";"Excursión al Cráter Azul";"https://www.civitatis.com/es/flores/excursion-crater-azul/";"Destinosguate";"jleal@destinosguate.com";"24590129";"BARCLEB S.A. | 1a calle 19-22 z. 8 de Mixco A-1 San Cris, Ciudad de Guatemala, Guatemala";"";"100603.97";"1";"196";"10.0";"CLP";"2026-02-24"
"Guatemala";"Flores";"Excursión a Yaxhá";"https://www.civitatis.com/es/flores/excursion-yaxha/";"Destinosguate";"jleal@destinosguate.com";"24590129";"BARCLEB S.A. | 1a calle 19-22 z. 8 de Mixco A-1 San Cris, Ciudad de Guatemala, Guatemala";"";"50301.98";"16";"198";"8.5";"CLP";"2026-02-24"
"Guatemala";"Flores";"Excursión privada desde Flores";"https://www.civitatis.com/es/flores/excursion-privada-flores/";"Turismo Peten";"walexmed@gmail.com";"47194320";"Wilmer Alexander Vásquez Medina | Barrio el Centro Santa Ana, Flores, Guatemala";"";"210353.77";"24";"311";"9.8";"CLP";"2026-02-24"
"Guatemala";"Flores";"Excursión a Tikal sin entradas";"https://www.civitatis.com/es/flores/excursion-tikal-sin-entradas/";"Getaway Travels";"getawaytravelsint@gmail.com";"+50254487332";"Liebana Figueroa | Calle Centroamérica, Isla de Flores Peten, Guatemala, Ciudad de Guatemala, Guatemala";"";"22864.54";"5";"89";"9.2";"CLP";"2026-02-24"
"Guatemala";"Flores";"Excursión a El Ceibal";"https://www.civitatis.com/es/flores/excursion-ceibal/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"187489.23";"1";"4";"8.0";"CLP";"2026-02-24"
"Guatemala";"Flores";"Traslado a Palenque";"https://www.civitatis.com/es/flores/traslado-palenque/";"Kichan Bajlum";"ventas@kichantravel.com";"9161140944";"TRANSPORTADORA TURISTICA KICHAN TRAVEL | AVENIDA BENITO JUAREZ SN, Palenque, México";"";"63618.54";"1";"23";"10.0";"CLP";"2026-02-24"
"Guatemala";"Flores";"Trekking de 5 días por El Mirador y El Tintal";"https://www.civitatis.com/es/flores/tour-5-dias-mirador-tintal/";"Getaway Travels";"getawaytravelsint@gmail.com";"+50254487332";"Liebana Figueroa | Calle Centroamérica, Isla de Flores Peten, Guatemala, Ciudad de Guatemala, Guatemala";"";"439913.76";"0";"1";"0.0";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Excursión a Tikal en avión";"https://www.civitatis.com/es/ciudad-de-guatemala/excursion-tikal/";"Tikal Go";"info@tikalgo.com";"+502 569 04 706";"Tikal Go inc | 185 Southeast 14th Terrace, 903, Miami, Estados Unidos";"";"369216.6";"43";"395";"9.5";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Excursión a Antigua Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/excursion-antigua-guatemala/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"36583.26";"26";"661";"8.6";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Excursión al Volcán Pacaya";"https://www.civitatis.com/es/ciudad-de-guatemala/excursion-volcan-pacaya/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"45729.08";"36";"549";"9.1";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Tour por la Guatemala moderna y colonial";"https://www.civitatis.com/es/ciudad-de-guatemala/tour-guatemala-colonial/";"Gray Line Guatemala";"reserve@graylineguatemala.com";"+502 2441-0189";"Reuxtreme Reuxtours S.A. | 8va Avenida 20-10 Zona 11, Ciudad de Guatemala, Guatemala";"";"59447.8";"24";"256";"8.0";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Free tour por Ciudad de Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/free-tour-ciudad-guatemala/";"Turistika Guate";"joanasalguero13@gmail.com";"00 502 44664583";"Joana Liset Salguero Fuentes | Residenciales Planes de Barcenas, zona 3 Villa Nueva, Guatemala, Ciudad de Guatemala, Guatemala";"";"0.0";"87";"1418";"9.4";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Traslados en Ciudad de Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"32010.35";"260";"4006";"9.1";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Tour por Ciudad de Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/visita-guiada-ciudad-guatemala/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"29266.61";"13";"438";"8.5";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Mercado de Chichicastenango y lago Atitlán";"https://www.civitatis.com/es/ciudad-de-guatemala/mercado-chichicastenango-lago-atitlan/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"114322.7";"15";"432";"7.9";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Lago Atitlán + Paseo en barco a San Juan La Laguna o Santiago";"https://www.civitatis.com/es/ciudad-de-guatemala/lago-atitlan-barco-santiago/";"Ttc Travel";"pfcascor@gmail.com";"+50253182319";"TTC Travel | 30 calle , Ciudad de Guatemala, Guatemala";"";"100603.97";"20";"585";"7.7";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Lago Atitlán + Paseo en barco a San Juan La Laguna o Santiago";"https://www.civitatis.com/es/ciudad-de-guatemala/lago-atitlan-barco-santiago/";"Guatemalan Adventure";"lorenn@guatemalanadventure.com";"502 46703135";"Turismo HP S.A. | 13 Calle 3-40 Zona 10 Edificio Atlantis S NIVEL 03 DEPARTAMENTO 50 , Ciudad de Guatemala, Guatemala";"";"100603.97";"20";"585";"7.7";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Excursión a Sololá y el lago de Atitlán";"https://www.civitatis.com/es/ciudad-de-guatemala/excursion-solola-lago-atitlan/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"114322.7";"10";"112";"9.2";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Excursión a Hobbitenango y Antigua Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/excursion-hobbitenango-antigua-guatemala/";"Ttc Travel";"pfcascor@gmail.com";"+50253182319";"TTC Travel | 30 calle , Ciudad de Guatemala, Guatemala";"";"90543.58";"9";"87";"9.8";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Circuito de 5 días por Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/circuito-5-dias-guatemala/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"505489.26";"2";"99";"10.0";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Excursión al Volcán de Pacaya y las termas de Kawilal";"https://www.civitatis.com/es/ciudad-de-guatemala/excursion-volcan-pacaya/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"141760.15";"13";"133";"8.0";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Tour alternativo por Ciudad de Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/tour-alternativo-ciudad-guatemala/";"Ttc Travel";"pfcascor@gmail.com";"+50253182319";"TTC Travel | 30 calle , Ciudad de Guatemala, Guatemala";"";"61276.96";"12";"84";"9.3";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Tour privado por Ciudad de Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/tour-privado-ciudad-guatemala/";"Ttc Travel";"pfcascor@gmail.com";"+50253182319";"TTC Travel | 30 calle , Ciudad de Guatemala, Guatemala";"";"178343.41";"3";"72";"10.0";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Excursión de 2 días a Tikal y Yaxhá en avión";"https://www.civitatis.com/es/ciudad-de-guatemala/tour-2-dias-tikal-yaxha/";"Gray Line Guatemala";"reserve@graylineguatemala.com";"+502 2441-0189";"Reuxtreme Reuxtours S.A. | 8va Avenida 20-10 Zona 11, Ciudad de Guatemala, Guatemala";"";"482899.1";"9";"110";"7.6";"CLP";"2026-02-24"
"Guatemala";"Ciudad de Guatemala";"Excursión privada desde Ciudad de Guatemala";"https://www.civitatis.com/es/ciudad-de-guatemala/excursion-copan/";"Clark Tours";"info@clarktours.com.gt";"+502 24124700";"Industria y Desarrollo Turístico, S.A. | 7ma avenida 14-76 zona 9, Ciudad de Guatemala, Guatemala";"";"640207.14";"0";"25";"0.0";"CLP";"2026-02-24"
