"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Guyana";"Georgetown";"Visita guiada por Georgetown";"https://www.civitatis.com/es/georgetown/visita-guiada-georgetown/";"Ride Along Gy";"ridealonggy@gmail.com";"+5926160701";"CherryAnn Greene | 65 Hadfield Street, Werk En Rust, Georgetown, Guyana";"";"50051.41";"3";"36";"10.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Cena y espectáculo en el restaurante Secret Garden";"https://www.civitatis.com/es/georgetown/cena-espectaculo-secret-garden/";"Singing Chef Adventures";"singingchefadventures@gmail.com";"+5926959065";"EON LINDEN JOHN | 253 Foreshaw Street, Georgetown, Guyana";"";"50051.41";"0";"10";"0.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Tour en bicicleta + Atardecer en Demerara Harbour Bridge";"https://www.civitatis.com/es/georgetown/tour-bicicleta-atardecer-demerara-bridge/";"Ride Along Gy";"ridealonggy@gmail.com";"+5926160701";"CherryAnn Greene | 65 Hadfield Street, Werk En Rust, Georgetown, Guyana";"";"54601.54";"0";"5";"0.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Tour por Georgetown y Seawall";"https://www.civitatis.com/es/georgetown/tour-georgetown-seawall/";"Ride Along Gy";"ridealonggy@gmail.com";"+5926160701";"CherryAnn Greene | 65 Hadfield Street, Werk En Rust, Georgetown, Guyana";"";"91002.57";"0";"6";"0.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Tour en bicicleta por Georgetown";"https://www.civitatis.com/es/georgetown/tour-bicicleta-georgetown/";"Ride Along Gy";"ridealonggy@gmail.com";"+5926160701";"CherryAnn Greene | 65 Hadfield Street, Werk En Rust, Georgetown, Guyana";"";"68251.93";"0";"6";"0.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Tour en bicicleta por Georgetown + Pícnic";"https://www.civitatis.com/es/georgetown/tour-bicicleta-georgetown-picnic/";"Ride Along Gy";"ridealonggy@gmail.com";"+5926160701";"CherryAnn Greene | 65 Hadfield Street, Werk En Rust, Georgetown, Guyana";"";"91002.57";"0";"0";"0.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Avistamiento de aves en el río Mahaica";"https://www.civitatis.com/es/georgetown/avistamiento-aves-rio-mahaica/";"Ride Along Gy";"ridealonggy@gmail.com";"+5926160701";"CherryAnn Greene | 65 Hadfield Street, Werk En Rust, Georgetown, Guyana";"";"141053.99";"0";"10";"0.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Demostración de Seven Curry en Georgetown";"https://www.civitatis.com/es/georgetown/taller-seven-curry-georgetown/";"Singing Chef Adventures";"singingchefadventures@gmail.com";"+5926959065";"EON LINDEN JOHN | 253 Foreshaw Street, Georgetown, Guyana";"";"113753.21";"1";"5";"10.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Tour de la esclavitud por Georgetown + Clase de cocina";"https://www.civitatis.com/es/georgetown/tour-esclavitud-georgetown-clase-cocina/";"Singing Chef Adventures";"singingchefadventures@gmail.com";"+5926959065";"EON LINDEN JOHN | 253 Foreshaw Street, Georgetown, Guyana";"";"136503.86";"0";"3";"0.0";"CLP";"2026-02-16"
"Guyana";"Georgetown";"Tour de la Magenta de 1 centavo de la Guyana Británica";"https://www.civitatis.com/es/georgetown/tour-magenta-centavo-guyana-britanica/";"Singing Chef Adventures";"singingchefadventures@gmail.com";"+5926959065";"EON LINDEN JOHN | 253 Foreshaw Street, Georgetown, Guyana";"";"91002.57";"0";"0";"0.0";"CLP";"2026-02-16"
