"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"India";"Delhi";"Excursión privada al Taj Mahal";"https://www.civitatis.com/es/delhi/excursion-taj-mahal/";"Delight Tours";"delighttours@hotmail.com";"+918377866190";"Delight Tours | C-56, MMIG, Indra Puram, Agra, India";"";"116483.29";"198";"1860";"9.5";"CLP";"2026-02-16"
"India";"Delhi";"Visita guiada privada por Delhi";"https://www.civitatis.com/es/delhi/visita-guiada-delhi/";"Delight Tours";"delighttours@hotmail.com";"+918377866190";"Delight Tours | C-56, MMIG, Indra Puram, Agra, India";"";"79354.24";"174";"1583";"9.0";"CLP";"2026-02-16"
"India";"Delhi";"Circuito de 7 o 9 días por el Triángulo de Oro y Varanasi";"https://www.civitatis.com/es/delhi/circuito-7-dias-triangulo-oro/";"Asia Escapes India Llp";"asia@asiaescapes.co.in";"9818444514";"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India";"";"362872.76";"62";"1039";"8.6";"CLP";"2026-02-16"
"India";"Delhi";"Free tour por Delhi";"https://www.civitatis.com/es/delhi/free-tour-delhi/";"Nine Tours";"tej@ninetours.in";"9307750152";"Ritej Travel Tech Pvt Ltd | B-404, Kolosus Green City, Chikhali, Jadhavwadi, Behind River Residency, Moshi, Pimpri Chinchwad, Pune, India";"";"0.0";"218";"3674";"9.0";"CLP";"2026-02-16"
"India";"Delhi";"Traslados en Delhi";"https://www.civitatis.com/es/delhi/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"16380.46";"87";"1295";"7.0";"CLP";"2026-02-16"
"India";"Delhi";"Excursión privada a Agra y Jaipur en 2 o 3 días";"https://www.civitatis.com/es/delhi/excursion-privada-agra-jaipur-3-dias/";"Delight Tours";"delighttours@hotmail.com";"+918377866190";"Delight Tours | C-56, MMIG, Indra Puram, Agra, India";"";"218406.17";"50";"412";"8.7";"CLP";"2026-02-16"
"India";"Delhi";"Excursión privada a Jaipur";"https://www.civitatis.com/es/delhi/excursion-jaipur/";"Delight Tours";"delighttours@hotmail.com";"+918377866190";"Delight Tours | C-56, MMIG, Indra Puram, Agra, India";"";"115027.25";"44";"339";"9.1";"CLP";"2026-02-16"
"India";"Delhi";"Tour gastronómico por Delhi";"https://www.civitatis.com/es/delhi/tour-gastronomico-delhi/";"Yo Tours";"puneet@yotours.in";"91 8448448434";"Wanderung Guides Pvt. Ltd. | C-1002 UNNATI DHAM KATRAJ KONDHWA ROAD NEAR SHATRUNJAY JAIN TEMP LE PUNE, Pune, India";"";"12046.76";"29";"296";"8.0";"CLP";"2026-02-16"
"India";"Delhi";"Tour nocturno por Delhi";"https://www.civitatis.com/es/delhi/tour-nocturno-delhi/";"Yo Tours";"puneet@yotours.in";"91 8448448434";"Wanderung Guides Pvt. Ltd. | C-1002 UNNATI DHAM KATRAJ KONDHWA ROAD NEAR SHATRUNJAY JAIN TEMP LE PUNE, Pune, India";"";"12046.76";"22";"258";"6.6";"CLP";"2026-02-16"
"India";"Delhi";"Tour privado por el templo del Loto, Akshardham, jardín Lodhi y tumba de Humayun";"https://www.civitatis.com/es/delhi/visita-guiada-lodhi-akshardham/";"Divaindia";"india@viajesdivaindia.com";"+91 99992 00611";"Hispano India Travels Private Limited | G-57 1ST FLOOR SECTOR 6, Noida, Gautambuddha Nagar, Uttar Pradesh, Noida, India";"";"68251.93";"47";"554";"8.9";"CLP";"2026-02-16"
"India";"Delhi";"Excursión privada a Agra en tren de alta velocidad";"https://www.civitatis.com/es/delhi/excursion-agra-tren-alta-velocidad/";"Taj Destination Tours";"KASIF8648@GMAIL.COM";"+91-8376048568";"TAJ DESTINATION TOURS | 281/C WARD NO 2 NEAR SHANI MANDIR, MEHRAULI NEW DELHI, India";"";"114663.24";"54";"381";"9.0";"CLP";"2026-02-16"
"India";"Delhi";"Tour de 10 días por el Triángulo de Oro y Nepal";"https://www.civitatis.com/es/delhi/tour-10-dias-triangulo-oro-nepal/";"Asia Escapes India Llp";"asia@asiaescapes.co.in";"9818444514";"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India";"";"851101.58";"8";"99";"8.3";"CLP";"2026-02-16"
"India";"Delhi";"¿Escala en Delhi? Tour privado desde el aeropuerto";"https://www.civitatis.com/es/delhi/tour-escala-delhi/";"Delight Tours";"delighttours@hotmail.com";"+918377866190";"Delight Tours | C-56, MMIG, Indra Puram, Agra, India";"";"50961.44";"33";"269";"8.8";"CLP";"2026-02-16"
"India";"Delhi";"Excursión privada de 4 días a Jaipur, Amber y Agra";"https://www.civitatis.com/es/delhi/circuito-4-dias-triangulo-oro/";"Asia Escapes India Llp";"asia@asiaescapes.co.in";"9818444514";"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India";"";"762146.56";"4";"102";"9.0";"CLP";"2026-02-16"
"India";"Delhi";"Excursión privada a Jaipur en tren de alta velocidad";"https://www.civitatis.com/es/delhi/excursion-jaipur-tren/";"Taj Destination Tours";"KASIF8648@GMAIL.COM";"+91-8376048568";"TAJ DESTINATION TOURS | 281/C WARD NO 2 NEAR SHANI MANDIR, MEHRAULI NEW DELHI, India";"";"122853.47";"10";"102";"8.0";"CLP";"2026-02-16"
"India";"Delhi";"Clase de cocina y comida con una familia india";"https://www.civitatis.com/es/delhi/clase-cocina-comida-tradicional/";"Nidhi Agarwal";"nidhiroopakpalak@hotmail.com";"00919540025630";"Nidhi Agarwal | 527, Sanskriti Apartment, Sector 19B, Dwarka, Delhi - 110075, Delhi, India";"";"30116.92";"20";"62";"10.0";"CLP";"2026-02-16"
"India";"Delhi";"Excursión privada a Haridwar";"https://www.civitatis.com/es/delhi/excursion-haridwar/";"Taj Voyages Tour";"info@tajvoyagestour.com";"8532003202";"Taj Voyages Tour | 3/4 Gound floor Taj Nagari phase 2 Fatehabad road agra, Agra, India";"";"131711.33";"10";"78";"5.6";"CLP";"2026-02-16"
"India";"Delhi";"Espectáculo de luz y sonido en el templo Akshardham";"https://www.civitatis.com/es/delhi/espectaculo-luz-sonido-templo-akshardham/";"Divaindia";"india@viajesdivaindia.com";"+91 99992 00611";"Hispano India Travels Private Limited | G-57 1ST FLOOR SECTOR 6, Noida, Gautambuddha Nagar, Uttar Pradesh, Noida, India";"";"28438.3";"7";"82";"5.4";"CLP";"2026-02-16"
"India";"Agra";"Tour privado por el Taj Mahal y el Fuerte de Agra";"https://www.civitatis.com/es/agra/tour-taj-mahal-fuerte-agra/";"Delight Tours";"delighttours@hotmail.com";"+918377866190";"Delight Tours | C-56, MMIG, Indra Puram, Agra, India";"";"50961.44";"44";"389";"8.9";"CLP";"2026-02-16"
"India";"Agra";"Free tour por Agra";"https://www.civitatis.com/es/agra/free-tour-agra/";"Travel Leisure India";"farmank07@gmail.com";"+919012656575";"Farman Khan | Kareem Nagar Gali no 3, Tajganj, Agra, India";"";"0.0";"88";"1402";"8.2";"CLP";"2026-02-16"
"India";"Agra";"Excursión privada a Fatehpur Sikri y Chand Baori";"https://www.civitatis.com/es/agra/excursion-fatehpur-sikri-chand-baori/";"Jee Ri Haveli";"jeerihaveli@yahoo.com";"+91 93 517 33 007";"Jee Ri Haveli | jee ri haveli, Near Gulab Sagar., Raj Mahal Girls School Road., Jodhpur, India";"";"75292.3";"7";"48";"4.6";"CLP";"2026-02-16"
"India";"Agra";"Espectáculo Mohabbat The Taj";"https://www.civitatis.com/es/agra/espectaculo-mohabbat-the-taj/";"Mta Destination Experts Pvt Ltd";"manishsharma@mytouradviser.com";"+91 89790 68324";"MTA DESTINATION MANAGEMENT COMPANY | 79.N N NO 25R/79/1, RK Puram, Taj Ganj, Near Mishra Hospital, Basi Mustkil, Agra, India";"";"42771.21";"6";"70";"9.3";"CLP";"2026-02-16"
"India";"Agra";"Excursión al Centro de Conservación y Cuidado de Elefantes";"https://www.civitatis.com/es/agra/excursion-centro-conservacion-elefantes/";"Mta Destination Experts Pvt Ltd";"manishsharma@mytouradviser.com";"+91 89790 68324";"MTA DESTINATION MANAGEMENT COMPANY | 79.N N NO 25R/79/1, RK Puram, Taj Ganj, Near Mishra Hospital, Basi Mustkil, Agra, India";"";"61881.75";"5";"47";"8.8";"CLP";"2026-02-16"
"India";"Agra";"Clase de cocina y comida con una familia india";"https://www.civitatis.com/es/agra/clase-cocina-comida-tradicional/";"Travel Leisure India";"farmank07@gmail.com";"+919012656575";"Farman Khan | Kareem Nagar Gali no 3, Tajganj, Agra, India";"";"10010.28";"2";"20";"10.0";"CLP";"2026-02-16"
"India";"Agra";"Excursión privada a Fatehpur Sikri y el Parque Keoladeo";"https://www.civitatis.com/es/agra/excursion-fatehpur-sikri-parque-keoladeo/";"Raj Tour & Travel";"rajtourtravelsagra@gmail.com";"+917500334006";"Raj Tour & Travel | A/150,Taj Nagari Phase-2,Fatehabad road, Agra, India";"";"91002.57";"0";"16";"0.0";"CLP";"2026-02-16"
"India";"Agra";"Tour gastronómico por Agra";"https://www.civitatis.com/es/agra/tour-gastronomico-agra/";"Yo Tours";"puneet@yotours.in";"91 8448448434";"Wanderung Guides Pvt. Ltd. | C-1002 UNNATI DHAM KATRAJ KONDHWA ROAD NEAR SHATRUNJAY JAIN TEMP LE PUNE, Pune, India";"";"10038.97";"1";"15";"10.0";"CLP";"2026-02-16"
"India";"Agra";"Excursión privada a los templos de Bateshwar";"https://www.civitatis.com/es/agra/excursion-templos-bateshwar/";"Divaindia";"india@viajesdivaindia.com";"+91 99992 00611";"Hispano India Travels Private Limited | G-57 1ST FLOOR SECTOR 6, Noida, Gautambuddha Nagar, Uttar Pradesh, Noida, India";"";"113753.21";"0";"12";"0.0";"CLP";"2026-02-16"
"India";"Agra";"Tour por los templos de Agra";"https://www.civitatis.com/es/agra/tour-templos-agra/";"Travel Leisure India";"farmank07@gmail.com";"+919012656575";"Farman Khan | Kareem Nagar Gali no 3, Tajganj, Agra, India";"";"13650.38";"5";"40";"6.4";"CLP";"2026-02-16"
"India";"Agra";"Tour privado en tuk tuk por Agra";"https://www.civitatis.com/es/agra/tour-tuk-tuk-agra/";"Hello India Tour";"tourhelloindia@gmail.com";"8909114110";"Hello India Tours | 32/25A, Bagichi Binda Bhagat, Tajganj, Agra, India";"";"69513.86";"0";"5";"0.0";"CLP";"2026-02-16"
