"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Indonesia";"Bali";"Tour privado por Pura Lempuyang, Goa Lawah y Tirta Gangga";"https://www.civitatis.com/es/bali/pura-lempuyang-besakih-tira-gangga/";"Explorandobali-Gili";"nicokardi@yahoo.es";"+6281338772853";"I Wayan Kardiyasa | Jl pratu Made rembug,bumi sasih asri blok 2b melati 1 no 3,batubulan,Gianyar,Bali, Gianyar, Indonesia";"";"77730.97";"167";"2731";"9.3";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour privado por el este de Bali y el Templo Madre de Besakih";"https://www.civitatis.com/es/bali/excursion-templo-madre-besakih/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"70185.82";"423";"5329";"9.7";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour privado por Ubud y el centro de Bali";"https://www.civitatis.com/es/bali/tour-centro-bali/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"70185.82";"291";"3751";"9.8";"CLP";"2026-02-16"
"Indonesia";"Bali";"Visita guiada por Ubud";"https://www.civitatis.com/es/bali/visita-guiada-ubud/";"Explorandobali-Gili";"nicokardi@yahoo.es";"+6281338772853";"I Wayan Kardiyasa | Jl pratu Made rembug,bumi sasih asri blok 2b melati 1 no 3,batubulan,Gianyar,Bali, Gianyar, Indonesia";"";"22981.33";"77";"727";"9.0";"CLP";"2026-02-16"
"Indonesia";"Bali";"Traslados en Bali";"https://www.civitatis.com/es/bali/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"13650.38";"693";"15545";"9.2";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour privado por Tanah Lot, cascadas Nung Nung y Bedugul";"https://www.civitatis.com/es/bali/tanah-lot-nung-nung-bedugul/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"70185.82";"528";"6419";"9.6";"CLP";"2026-02-16"
"Indonesia";"Bali";"Senderismo por el volcán Batur al amanecer";"https://www.civitatis.com/es/bali/senderismo-volcan-batur/";"Ubud Sunrise Hiking";"wayan.adjus@gmail.com";"081239020556";"I Wayan Siwa Brata | Br. Dinas Tabu, Ds Songan A Kintamani Bangli, Kintamani, Indonesia";"";"20930.59";"494";"3336";"9.6";"CLP";"2026-02-16"
"Indonesia";"Bali";"Boda balinesa ¡Cásate con el rito tradicional!";"https://www.civitatis.com/es/bali/boda-balinesa/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"587401.38";"124";"1100";"9.9";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour en 4x4 por el monte Batur al amanecer";"https://www.civitatis.com/es/bali/tour-4x4-caldera-kintamani-amanecer/";"Ubud Sunrise Hiking";"wayan.adjus@gmail.com";"081239020556";"I Wayan Siwa Brata | Br. Dinas Tabu, Ds Songan A Kintamani Bangli, Kintamani, Indonesia";"";"40951.15";"431";"3260";"9.5";"CLP";"2026-02-16"
"Indonesia";"Bali";"Traslado hasta las Islas Gili en lancha rápida";"https://www.civitatis.com/es/bali/excursion-islas-gili/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"39142.09";"332";"14337";"6.6";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour privado por el sur de Bali, Templo Uluwatu y Jimbaran";"https://www.civitatis.com/es/bali/excursion-sur-bali-uluwatu-jimbaran/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"70185.82";"129";"2429";"8.9";"CLP";"2026-02-16"
"Indonesia";"Bali";"Espectáculo de danza kecak en Ubud";"https://www.civitatis.com/es/bali/espectaculo-danza-kecak-ubud/";"Bali Performances";"performancesbali@gmail.com";"+6282340133188";"CV PERSONA BALI DWINA | jl. Tirta Tawar no 11, Petulu, Ubud Bali, Ubud, Indonesia";"";"5407.37";"23";"943";"9.0";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour privado por los lagos y templos de Bedugul y Tanah Lot";"https://www.civitatis.com/es/bali/excursion-bedugul-tanah-lot/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"70185.82";"187";"2010";"9.6";"CLP";"2026-02-16"
"Indonesia";"Bali";"Excursión a Nusa Penida";"https://www.civitatis.com/es/bali/excursion-nusa-penida-snorkel/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"80983.64";"124";"2007";"6.9";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour por el templo Uluwatu + Danza kecak";"https://www.civitatis.com/es/bali/danza-kecak-batubulan/";"Krisna Bali Trekking Tour";"krisnabalitrekkingtour@gmail.com";"+6281937607222";"Krisna Bali Trekking Tour | jln batuyang Gang panji Utara 2 no 7, Gianyar, Indonesia";"";"35485.88";"64";"814";"8.4";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour de Bali para Instagram";"https://www.civitatis.com/es/bali/tour-fotografico-bali/";"Bali Private Tours";"balibylocals@gmail.com";"+6282313553381";"CV. TRIP GOTIK | Jalan Tukad Badung V, No.3a, Denpasar, Bali, Denpasar, Indonesia";"";"47990.42";"9";"78";"9.3";"CLP";"2026-02-16"
"Indonesia";"Bali";"Snorkel en Nusa Penida y Nusa Lembongan";"https://www.civitatis.com/es/bali/snorkel-nusa-penida-nusa-lembongan/";"Newbro Surfing";"info@newbrosurfing.com";"+6282236258403";"PT SELANCAR NUSA ABADI | Jalan Raya Jungutbatu, Nusa Penida, Indonesia";"";"54073.72";"92";"950";"8.3";"CLP";"2026-02-16"
"Indonesia";"Bali";"Snorkel en Bali";"https://www.civitatis.com/es/bali/snorkel-bali/";"Bali Diving";"sales@balidiving.com";"+6287861190174";"PT. Bali Sunfish Safaris | Jl. Bay Pass Ngurah Rai No.46E, Denpasar, Indonesia";"";"50051.41";"1";"43";"8.0";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour privado por los palacios flotantes de Taman Ujung y Tirta Gangga";"https://www.civitatis.com/es/bali/tour-este-bali/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"70185.82";"51";"721";"9.8";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour cultural privado de Batubulan a Kintamani";"https://www.civitatis.com/es/bali/tour-cultural-bali-kintamani/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"70185.82";"87";"1130";"9.5";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour privado por Pura Lempuyang";"https://www.civitatis.com/es/bali/excursion-pura-lempuyang/";"His Tours & Travel";"opbali@myskyhub.com";"+628113805050";"PT. Harum Indah Sari Tours | Jl. By Pass Ngurah Rai No: 732, Pesanggaran, Denpasar, Indonesia";"";"106473.01";"109";"3411";"8.1";"CLP";"2026-02-16"
"Indonesia";"Bali";"Alquiler de coche con conductor en Bali";"https://www.civitatis.com/es/bali/alquiler-coche-chofer/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"65866.69";"212";"2821";"9.5";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour por las cascadas Tegenungan, Tukad Cepung y Tibumana";"https://www.civitatis.com/es/bali/cascadas-tegenungan-tukad-cepung-tibumana/";"Ubud Sunrise Hiking";"wayan.adjus@gmail.com";"081239020556";"I Wayan Siwa Brata | Br. Dinas Tabu, Ds Songan A Kintamani Bangli, Kintamani, Indonesia";"";"26390.74";"0";"13";"0.0";"CLP";"2026-02-16"
"Indonesia";"Bali";"Devdan Show en el Teatro Nusa Dua";"https://www.civitatis.com/es/bali/devdan-show/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"17498.63";"8";"90";"9.5";"CLP";"2026-02-16"
"Indonesia";"Bali";"Entrada al parque de columpios Bali Swing";"https://www.civitatis.com/es/bali/entrada-bali-swing/";"Pt. Indo Abadi Consulting";"management@baliswing.com";"087802065006";"PT. Indo Abadi Consulting | Jl. Bypass Ngurah Rai No. 280, Sanur, Bali, Indonesia";"";"11679.92";"5";"220";"9.2";"CLP";"2026-02-16"
"Indonesia";"Bali";"Traslado hasta Nusa Penida en lancha rápida";"https://www.civitatis.com/es/bali/traslado-nusa-penida-lancha/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"10797.81";"7";"185";"4.9";"CLP";"2026-02-16"
"Indonesia";"Bali";"Rafting + Quad en Bali";"https://www.civitatis.com/es/bali/rafting-quad-bali/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"43191.27";"90";"1224";"9.2";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour privado en 4x4 por el monte Batur";"https://www.civitatis.com/es/bali/tour-privado-4x4-monte-batur/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"168715.92";"21";"945";"8.9";"CLP";"2026-02-16"
"Indonesia";"Bali";"Masaje balinés tradicional en Ubud";"https://www.civitatis.com/es/bali/masaje-balines-ubud/";"Ubud Traditional Spa";"info@ubudtraditionalspa.com";"087761584407";"I KOMANG NURAGA | Jalan Rsi Markandya I No. 35 Br. Payogan, Kedewatan, Ubud, Indonesia";"";"14870.27";"22";"443";"9.9";"CLP";"2026-02-16"
"Indonesia";"Bali";"Tour en bicicleta eléctrica por los campos de arroz";"https://www.civitatis.com/es/bali/tour-bicicleta-campos-arroz/";"Bali Ebike Tours";"hello@baliebiketours.com";"+639175809812";"PT.JUST DREAM BIG | Jl. Merdeka Raya IV no 7 Sunset Road Boulevard Kuta , BADUNG-BALI, Indonesia";"";"38221.08";"56";"499";"9.1";"CLP";"2026-02-16"
"Indonesia";"Bali";"Snorkel en la Laguna Azul de Padangbai";"https://www.civitatis.com/es/bali/snorkel-laguna-azul-padangbai/";"Hire Bali Driver";"tour@hirebalidriver.com";"+6281237205332";"CV. Bala Bali Tour | Jl. Batu Kurung II No. 110 Kedewatan, Ubud, Gianyar, Bali, Indonesia";"";"22750.64";"42";"345";"8.4";"CLP";"2026-02-16"
"Indonesia";"Bali";"Ruta privada de senderismo por Sekumpul + Templo Pura Ulun Danu Bratan";"https://www.civitatis.com/es/bali/senderismo-sekumpul-ulun-danu-bratan/";"Ubud Sunrise Hiking";"wayan.adjus@gmail.com";"081239020556";"I Wayan Siwa Brata | Br. Dinas Tabu, Ds Songan A Kintamani Bangli, Kintamani, Indonesia";"";"125128.54";"30";"270";"9.6";"CLP";"2026-02-16"
"Indonesia";"Bali";"Nado con delfines en Lovina";"https://www.civitatis.com/es/bali/nado-delfines-lovina/";"Lovina Dolphin Bali Tour";"putufaris4561@gmail.com";"0881037314097";"I Putu Suardika | Jalan kedasih Banjar dinas cekukbuluh kalibukbuk Anturan Buleleng Bali, Buleleng, Indonesia";"";"22981.33";"30";"173";"9.7";"CLP";"2026-02-16"
"Indonesia";"Bali";"Traslado hasta Lombok en lancha rápida";"https://www.civitatis.com/es/bali/excursion-lombok/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"37792.36";"14";"277";"5.3";"CLP";"2026-02-16"
"Indonesia";"Bali";"Traslado en barco a Nusa Lembongan y las islas Gili";"https://www.civitatis.com/es/bali/barco-nusa-lembongan-islas-gili/";"Marlin Fast Boat";"marlinfastboat@gmail.com";"+628113999832";"PT. Bali Swaguna Mandiri | Gianyar, Gianyar, Indonesia";"";"81110.58";"1";"114";"10.0";"CLP";"2026-02-16"
"Indonesia";"Bali";"Clase de cocina balinesa";"https://www.civitatis.com/es/bali/clase-cocina-balinesa/";"Bali Ubud Tour";"reservationbaliubudtour@gmail.com";"087862094770";"I Wayan Santika | Jl.Suweta Ubud, Gianyar, Indonesia";"";"27036.86";"28";"235";"9.8";"CLP";"2026-02-16"
"Indonesia";"Bali";"Visita guiada privada por Denpasar";"https://www.civitatis.com/es/bali/visita-guiada-denpasar/";"Bali Viaje";"baliviaje@yahoo.com";"+6282144156108";"I Wayan Meiarta | Banjar Temesi, Desa Temesi, , Gianyar, Bali , Indonesia";"";"95020.81";"6";"157";"7.0";"CLP";"2026-02-16"
