"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Lituania";"Vilna";"Excursión a Trakai";"https://www.civitatis.com/es/vilna/excursion-trakai/";"Vilnius City Tour";"info@vilniuscitytour.com";"+37068633916";"UAB Senamiesčio gidas | kauno 16-39, Vilna, Lituania";"";"32393.45";"73";"658";"7.2";"CLP";"2026-02-16"
"Lituania";"Vilna";"Autobús turístico de Vilna";"https://www.civitatis.com/es/vilna/autobus-turistico-vilna/";"Vilnius City Tour";"info@vilniuscitytour.com";"+37068633916";"UAB Senamiesčio gidas | kauno 16-39, Vilna, Lituania";"";"16196.72";"31";"391";"7.5";"CLP";"2026-02-16"
"Lituania";"Vilna";"Tour en bicicleta por Vilna";"https://www.civitatis.com/es/vilna/tour-bicicleta-vilna/";"Bike Vilnius Velotakas";"info@velotakas.lt";"+37061845727";"Velotakas | A.Stulginskio 5, Vilna, Lituania";"";"31313.67";"2";"28";"9.0";"CLP";"2026-02-16"
"Lituania";"Vilna";"Tour privado por Vilna con guía en español";"https://www.civitatis.com/es/vilna/tour-privado-vilna/";"Ulko Tours";"spb@ulkotours.com";"+7 911 0995981";"Ulko Tours LLC | Sredniy pr. V.O. 88A, office 507, Saint-Petersburg, Rusia";"";"340131.31";"17";"269";"9.9";"CLP";"2026-02-16"
"Lituania";"Vilna";"Experiencia privada de sauna en los bosques de Vilna";"https://www.civitatis.com/es/vilna/sauna-bosques-vilna/";"Travel In Baltics";"info@travelinbaltics.com";"+37062053606";"MB | Vandžiogalos str. 40, Kaunas , Lituania";"";"426513.87";"0";"10";"0.0";"CLP";"2026-02-16"
"Lituania";"Vilna";"Traslados en Vilna";"https://www.civitatis.com/es/vilna/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"51494.8";"23";"382";"9.0";"CLP";"2026-02-16"
"Lituania";"Vilna";"Free tour por Vilna";"https://www.civitatis.com/es/vilna/free-tour-vilna/";"Miliexplo";"milisentam@gmail.com";"+37065013615";"MILISENTA MISEVICIUTE | Literatu str. 9-25, Vilna, Lituania";"";"0.0";"148";"2274";"9.4";"CLP";"2026-02-16"
"Lituania";"Vilna";"Tour de 7 días por los Países Bálticos";"https://www.civitatis.com/es/vilna/tour-8-dias-paises-balticos/";"Intobaltics";"helio@intobaltics.com";"+370 52032128";"intoBaltics UAB | Traidenio g. 34. , Vilna, Lituania";"";"772044.09";"15";"111";"8.4";"CLP";"2026-02-16"
"Lituania";"Vilna";"Paseo en globo por Vilna";"https://www.civitatis.com/es/vilna/paseo-globo-vilna/";"Sky Flowers";"l.mikelevic@gmail.com";"+37064771653";"UAB ""Romanus"" | Oginskio, 8, Nemencine, Lituania";"";"172765.11";"6";"41";"9.7";"CLP";"2026-02-16"
"Lituania";"Trakai";"Paseo en globo por Trakai";"https://www.civitatis.com/es/trakai/paseo-globo-trakai/";"Sky Flowers";"l.mikelevic@gmail.com";"+37064771653";"UAB ""Romanus"" | Oginskio, 8, Nemencine, Lituania";"";"172765.11";"2";"11";"10.0";"CLP";"2026-02-16"
"Lituania";"Klaipėda";"Tour privado por Klaipėda";"https://www.civitatis.com/es/klaipeda/tour-privado-klaipeda/";"Ulko Tours";"spb@ulkotours.com";"+7 911 0995981";"Ulko Tours LLC | Sredniy pr. V.O. 88A, office 507, Saint-Petersburg, Rusia";"";"291541.12";"3";"216";"9.3";"CLP";"2026-02-16"
"Lituania";"Klaipėda";"Tour por Klaipėda para cruceros";"https://www.civitatis.com/es/klaipeda/tour-klaipeda-cruceros/";"Shore2Shore";"info@shore2shore.es";"928 51 53 52";"CALIMA SHORE TRAVEL S.L. | CALLE PARDELERA 8, Puerto Del Carmen, España";"";"34553.02";"0";"15";"0.0";"CLP";"2026-02-16"
"Lituania";"Kaunas ";"Tour privado por Kaunas";"https://www.civitatis.com/es/kaunas/tour-privado-kaunas/";"Guydeez";"lauderic@guydeez.com";"+34 670 78 37 54";"GUYDEEZ TOUR - FZCO | IFZA Business Park, DDP, Dubái, Emiratos Árabes Unidos";"";"302338.94";"1";"18";"10.0";"CLP";"2026-02-16"
