"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Montenegro";"Podgorica";"Tour por la costa de Podgorica";"https://www.civitatis.com/es/podgorica/tour-costa-podgorica/";"Montenegro Wonders";"montenegrowonders@gmail.com";"+382 67845936";"Tanja Pejovic | Mitra Bakic 78, Podgorica, Montenegro";"";"178164.02";"6";"35";"9.3";"CLP";"2026-02-16"
"Montenegro";"Podgorica";"Excursión al monasterio de Ostrog";"https://www.civitatis.com/es/podgorica/excursion-monasterio-ostrog/";"Montenegro Wonders";"montenegrowonders@gmail.com";"+382 67845936";"Tanja Pejovic | Mitra Bakic 78, Podgorica, Montenegro";"";"97180.37";"8";"51";"10.0";"CLP";"2026-02-16"
"Montenegro";"Podgorica";"Tour por la llanura de Zeta";"https://www.civitatis.com/es/podgorica/tour-llanura-zeta/";"Montenegro Wonders";"montenegrowonders@gmail.com";"+382 67845936";"Tanja Pejovic | Mitra Bakic 78, Podgorica, Montenegro";"";"161967.29";"1";"6";"10.0";"CLP";"2026-02-16"
"Montenegro";"Kotor";"Tour por Perast y Nuestra Señora de las Rocas para cruceros";"https://www.civitatis.com/es/kotor/excursion-perast-nuestra-senora-rocas/";"Shore2Shore";"info@shore2shore.es";"928 51 53 52";"CALIMA SHORE TRAVEL S.L. | CALLE PARDELERA 8, Puerto Del Carmen, España";"";"32393.45";"10";"348";"8.8";"CLP";"2026-02-16"
"Montenegro";"Kotor";"Paseo en barco privado por la bahía de Kotor";"https://www.civitatis.com/es/kotor/paseo-barco-privado-bahia-kotor/";"Limitless Speed Boat Kotor";"speedboatmontenegro@gmail.com";"+38268709709";"Nidas Ko | Dobrota bb, Kotor, Montenegro";"";"161967.29";"21";"587";"9.4";"CLP";"2026-02-16"
"Montenegro";"Kotor";"Excursión a la Cueva Azul y Nuestra Señora de las Rocas en barco";"https://www.civitatis.com/es/kotor/excursion-cueva-azul-nuestra-senora-rocas/";"Limitless Speed Boat Kotor";"speedboatmontenegro@gmail.com";"+38268709709";"Nidas Ko | Dobrota bb, Kotor, Montenegro";"";"48590.18";"113";"1387";"9.1";"CLP";"2026-02-16"
"Montenegro";"Kotor";"Excursión al Lago Negro, monasterio de Ostrog y Žabljak";"https://www.civitatis.com/es/kotor/excursion-lago-negro-ostrog-zabljak/";"360 Monte We Are Montenegro";"info@360monte.me";"+38267698335";"OLD TOWN TRAVEL D.O.O KOTOR | Old Town Travel doo, Stari grad 284, Kotor, Kotor, Montenegro";"";"85302.77";"36";"265";"8.6";"CLP";"2026-02-16"
"Montenegro";"Kotor";"Excursión privada desde Kotor";"https://www.civitatis.com/es/kotor/excursion-privada-kotor/";"360 Monte We Are Montenegro";"info@360monte.me";"+38267698335";"OLD TOWN TRAVEL D.O.O KOTOR | Old Town Travel doo, Stari grad 284, Kotor, Kotor, Montenegro";"";"430832.99";"1";"41";"10.0";"CLP";"2026-02-16"
"Montenegro";"Kotor";"Excursión al lago Skadar, Parque Nacional Biogradska Gora y el cañón de Morača";"https://www.civitatis.com/es/kotor/excursion-skadar-biogradska-gora-moraca/";"360 Monte We Are Montenegro";"info@360monte.me";"+38267698335";"OLD TOWN TRAVEL D.O.O KOTOR | Old Town Travel doo, Stari grad 284, Kotor, Kotor, Montenegro";"";"74504.95";"10";"48";"9.8";"CLP";"2026-02-16"
"Montenegro";"Kotor";"Excursión a Budva, Njeguši y Cetiña";"https://www.civitatis.com/es/kotor/excursion-budva-njegusi-cetina/";"360 Monte We Are Montenegro";"info@360monte.me";"+38267698335";"OLD TOWN TRAVEL D.O.O KOTOR | Old Town Travel doo, Stari grad 284, Kotor, Kotor, Montenegro";"";"79903.86";"7";"71";"7.7";"CLP";"2026-02-16"
"Montenegro";"Kotor";"Rafting en el río Tara";"https://www.civitatis.com/es/kotor/rafting-rio-tara/";"360 Monte We Are Montenegro";"info@360monte.me";"+38267698335";"OLD TOWN TRAVEL D.O.O KOTOR | Old Town Travel doo, Stari grad 284, Kotor, Kotor, Montenegro";"";"150089.69";"6";"52";"10.0";"CLP";"2026-02-16"
"Montenegro";"Budva";"Excursión a Budva, Njeguši y Cetiña";"https://www.civitatis.com/es/budva/excursion-budva-njegusi-cetina/";"360 Monte We Are Montenegro";"info@360monte.me";"+38267698335";"OLD TOWN TRAVEL D.O.O KOTOR | Old Town Travel doo, Stari grad 284, Kotor, Kotor, Montenegro";"";"79903.86";"7";"71";"7.7";"CLP";"2026-02-16"
"Montenegro";"Budva";"Excursión privada desde Budva";"https://www.civitatis.com/es/budva/excursion-privada-budva/";"360 Monte We Are Montenegro";"info@360monte.me";"+38267698335";"OLD TOWN TRAVEL D.O.O KOTOR | Old Town Travel doo, Stari grad 284, Kotor, Kotor, Montenegro";"";"430832.99";"0";"21";"0.0";"CLP";"2026-02-16"
"Montenegro";"Đurđevića Tara";"Rafting en el río Tara";"https://www.civitatis.com/es/durdevica-tara/rafting-rio-tara/";"Montenegro Adventure";"alden@montenegroadventure.travel";"+382 68028234";"Montenegro Adventure | Prencanska 17, Pljevlja, Montenegro";"";"102579.28";"4";"26";"8.5";"CLP";"2026-02-16"
