"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Nicaragua";"León";"Traslado hasta La Unión en lancha rápida por el Golfo de Fonseca";"https://www.civitatis.com/es/leon-nicaragua/traslado-union-lancha-rapida/";"Dolphins Tour";"raulcastro@delfinestour.net";"+503 2604-0014";"Raúl Gilberto Castro Gomez | Tercera calle oriente 5º avenida norte nº 3-6, Barrio el Centro, La Unión., El Salvador, El Salvador";"";"99689.39";"0";"2";"0.0";"CLP";"2026-02-24"
"Nicaragua";"León";"Tour privado por León";"https://www.civitatis.com/es/leon-nicaragua/tour-privado-leon/";"Sos Nicaragua";"info@sosnicaragua.org";"+50585648061";"David Melero Duro | Administración de Rentas 2 1/2 oeste, León, Nicaragua";"";"109749.79";"0";"8";"0.0";"CLP";"2026-02-24"
"Nicaragua";"León";"Tour por León";"https://www.civitatis.com/es/leon-nicaragua/tour-leon/";"Maria Tours";"mariablanketcenteno912@gmail.com";"85348070";"Maria Esther Hernández Centeno | Asilo de ancianos 1/2 c Este, León, Nicaragua";"";"36583.26";"0";"2";"0.0";"CLP";"2026-02-24"
"Nicaragua";"León";"Senderismo por el volcán Telica";"https://www.civitatis.com/es/leon-nicaragua/senderismo-volcan-telica/";"Sos Nicaragua";"info@sosnicaragua.org";"+50585648061";"David Melero Duro | Administración de Rentas 2 1/2 oeste, León, Nicaragua";"";"74309.75";"0";"1";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Managua";"Excursión a la isla de Ometepe";"https://www.civitatis.com/es/managua/excursion-isla-ometepe/";"Sos Nicaragua";"info@sosnicaragua.org";"+50585648061";"David Melero Duro | Administración de Rentas 2 1/2 oeste, León, Nicaragua";"";"153649.71";"5";"85";"9.6";"CLP";"2026-02-24"
"Nicaragua";"Managua";"Excursión a León";"https://www.civitatis.com/es/managua/excursion-leon/";"Sos Nicaragua";"info@sosnicaragua.org";"+50585648061";"David Melero Duro | Administración de Rentas 2 1/2 oeste, León, Nicaragua";"";"77739.43";"6";"69";"7.7";"CLP";"2026-02-24"
"Nicaragua";"Managua";"Excursión al volcán Masaya";"https://www.civitatis.com/es/managua/excursion-volcan-masaya/";"Sos Nicaragua";"info@sosnicaragua.org";"+50585648061";"David Melero Duro | Administración de Rentas 2 1/2 oeste, León, Nicaragua";"";"50301.98";"2";"690";"10.0";"CLP";"2026-02-24"
"Nicaragua";"Managua";"Excursión al volcán Masaya y laguna de Apoyo";"https://www.civitatis.com/es/managua/excursion-volcan-masaya-laguna-apoyo/";"Sos Nicaragua";"info@sosnicaragua.org";"+50585648061";"David Melero Duro | Administración de Rentas 2 1/2 oeste, León, Nicaragua";"";"59447.8";"8";"427";"9.8";"CLP";"2026-02-24"
"Nicaragua";"Managua";"Excursión al Cañón de Somoto";"https://www.civitatis.com/es/managua/excursion-canon-somoto/";"Sos Nicaragua";"info@sosnicaragua.org";"+50585648061";"David Melero Duro | Administración de Rentas 2 1/2 oeste, León, Nicaragua";"";"96031.07";"1";"22";"10.0";"CLP";"2026-02-24"
"Nicaragua";"Managua";"Tour por Managua";"https://www.civitatis.com/es/managua/tour-managua/";"Ecoterra Costa Rica";"claudio@terralunagroup.com";"24798333";"Ecoterra Z.N sociedad anonima | La Fortuna San Carlos Arenal, La Fortuna, Costa Rica";"";"76824.85";"0";"46";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Managua";"Excursión a Granada y Masaya";"https://www.civitatis.com/es/managua/excursion-granada-masaya/";"Sos Nicaragua";"info@sosnicaragua.org";"+50585648061";"David Melero Duro | Administración de Rentas 2 1/2 oeste, León, Nicaragua";"";"105176.88";"0";"39";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Managua";"Circuito de 8 días por Nicaragua";"https://www.civitatis.com/es/managua/circuito-8-dias-nicaragua/";"Golden Tours Nicaragua";"malbertoromero86@gmail.com";"+505 86323311";"Mario Alberto Romero | San Ignacio, de La Chatarrera 3 cuadras al Sur, contiguo a Iglesia Misión Cristiana, Granada, Nicaragua";"";"1098869.82";"0";"0";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Potosí";"Traslado hasta La Unión en lancha rápida por el Golfo de Fonseca";"https://www.civitatis.com/es/potosi-nicaragua/traslado-union-lancha-rapida/";"Dolphins Tour";"raulcastro@delfinestour.net";"+503 2604-0014";"Raúl Gilberto Castro Gomez | Tercera calle oriente 5º avenida norte nº 3-6, Barrio el Centro, La Unión., El Salvador, El Salvador";"";"69508.2";"0";"8";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Granada";"Tour por Managua";"https://www.civitatis.com/es/granada-nicaragua/tour-managua/";"Ecoterra Costa Rica";"claudio@terralunagroup.com";"24798333";"Ecoterra Z.N sociedad anonima | La Fortuna San Carlos Arenal, La Fortuna, Costa Rica";"";"76824.85";"0";"46";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Granada";"Senderismo por el volcán Mombacho";"https://www.civitatis.com/es/granada-nicaragua/senderismo-volcan-mombacho/";"Enjoy Nicaragua Travel Specialist";"operation@enjoy-nicaragua.com";"+505 8210-5583";"David Alejandro Rosales Garcia | Del parque central de Granada, 50 mts al lago, Granada, Nicaragua";"";"69065.13";"0";"2";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Granada";"Tour por Granada";"https://www.civitatis.com/es/granada-nicaragua/tour-granada/";"Ecoterra Costa Rica";"claudio@terralunagroup.com";"24798333";"Ecoterra Z.N sociedad anonima | La Fortuna San Carlos Arenal, La Fortuna, Costa Rica";"";"58533.22";"0";"22";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Granada";"Excursión a Managua + Visita a la destilería Boutique Flor de Caña";"https://www.civitatis.com/es/granada-nicaragua/excursion-managua-destileria-flor-cana/";"Enjoy Nicaragua Travel Specialist";"operation@enjoy-nicaragua.com";"+505 8210-5583";"David Alejandro Rosales Garcia | Del parque central de Granada, 50 mts al lago, Granada, Nicaragua";"";"197986.71";"0";"0";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Granada";"Excursión a las islas Zapatera y El Muerto";"https://www.civitatis.com/es/granada-nicaragua/excursion-islas-zapatera-muerto/";"Enjoy Nicaragua Travel Specialist";"operation@enjoy-nicaragua.com";"+505 8210-5583";"David Alejandro Rosales Garcia | Del parque central de Granada, 50 mts al lago, Granada, Nicaragua";"";"174965.0";"0";"0";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Granada";"Excursión al volcán Masaya, San Juan de Oriente y la laguna de Apoyo";"https://www.civitatis.com/es/granada-nicaragua/volcan-masaya-juan-oriente-laguna-apoyo/";"Enjoy Nicaragua Travel Specialist";"operation@enjoy-nicaragua.com";"+505 8210-5583";"David Alejandro Rosales Garcia | Del parque central de Granada, 50 mts al lago, Granada, Nicaragua";"";"101295.52";"0";"0";"0.0";"CLP";"2026-02-24"
"Nicaragua";"Granada";"Excursión a la isla de Ometepe";"https://www.civitatis.com/es/granada-nicaragua/excursion-isla-ometepe/";"Enjoy Nicaragua Travel Specialist";"operation@enjoy-nicaragua.com";"+505 8210-5583";"David Alejandro Rosales Garcia | Del parque central de Granada, 50 mts al lago, Granada, Nicaragua";"";"189649.12";"0";"0";"0.0";"CLP";"2026-02-24"
