"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Nueva Zelanda";"Queenstown";"Tour por los escenarios de El Señor de los Anillos";"https://www.civitatis.com/es/queenstown/tour-senor-anillos/";"Nomad Safaris";"accounts@nomadsafaris.co.n";"+64 034426699";"NOMAD ADVENTURES LIMITED | PO Boox 341, Queenstown, Nueva Zelanda";"";"164181.54";"9";"63";"7.8";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Excursión al fiordo Milford Sound";"https://www.civitatis.com/es/queenstown/excursion-fiordo-milford-sound/";"Cheeky Kiwi Travel";"bookings@cheekykiwitravel.com";"+64 9 390 7380";"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda";"";"191636.65";"14";"222";"7.6";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Excursión a Arrowtown y Gibbston + Barco por el Lago Wakatipu";"https://www.civitatis.com/es/queenstown/excursion-arrowtown-gibbston-barco-wakatipu/";"Vio Travel";"michael@vio.travel";"+66922472382";"Experience Asia Travel Ltd | 610 Nathan Road, Mongkok, Kowloon, Hong Kong, Kowloon, Hong Kong";"";"156988.54";"0";"29";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Tour en 4x4 por Skippers Canyon";"https://www.civitatis.com/es/queenstown/tour-4x4-skippers-canyon-macetown/";"Nomad Safaris";"accounts@nomadsafaris.co.n";"+64 034426699";"NOMAD ADVENTURES LIMITED | PO Boox 341, Queenstown, Nueva Zelanda";"";"164181.54";"0";"7";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Excursión al Monte Cook";"https://www.civitatis.com/es/queenstown/excursion-monte-cook/";"Cheeky Kiwi Travel";"bookings@cheekykiwitravel.com";"+64 9 390 7380";"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda";"";"145512.07";"9";"72";"9.1";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Traslados en Queenstown";"https://www.civitatis.com/es/queenstown/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"43928.17";"0";"28";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Tarjeta eSIM con Internet para Nueva Zelanda";"https://www.civitatis.com/es/queenstown/tarjeta-esim-nueva-zelanda/";"Xplori";"go@xplori.world";"+84852186217";"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China";"";"22295.63";"2";"37";"9.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Excursión a Glenorchy y Paradise";"https://www.civitatis.com/es/queenstown/excursion-glenorchy-paradise/";"Vio Travel";"michael@vio.travel";"+66922472382";"Experience Asia Travel Ltd | 610 Nathan Road, Mongkok, Kowloon, Hong Kong, Kowloon, Hong Kong";"";"129569.46";"0";"6";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Tour de la cerveza y el vino por Queenstown y Gibbston";"https://www.civitatis.com/es/queenstown/tour-cerveza-vino-queenstown-gibbston/";"Vio Travel";"michael@vio.travel";"+66922472382";"Experience Asia Travel Ltd | 610 Nathan Road, Mongkok, Kowloon, Hong Kong, Kowloon, Hong Kong";"";"174815.94";"0";"6";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Tour en quad por Queenstown";"https://www.civitatis.com/es/queenstown/tour-quad-queenstown/";"Nomad Safaris";"accounts@nomadsafaris.co.n";"+64 034426699";"NOMAD ADVENTURES LIMITED | PO Boox 341, Queenstown, Nueva Zelanda";"";"183949.22";"0";"8";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Tour en segway por Queenstown";"https://www.civitatis.com/es/queenstown/tour-segway-queenstown/";"Segway On Q";"segwayonq@gmail.com";"0273442237";"Segway on Q | 83A Arawata Terrace, Sunshine Bay, Queenstown, Nueva Zelanda";"";"54361.11";"1";"6";"10.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Autobús turístico de los viñedos de Queenstown";"https://www.civitatis.com/es/queenstown/autobus-turistico-vinedos-queenstown/";"Hop On Hop Off Wine Tours Ltd";"enquiries@hoponhopoffwinetours.com";"03 573 5508";"Hop on Hop Off wine Tours LTD | 3 Auckland Street, Picton, Nueva Zelanda";"";"54635.66";"0";"3";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Alquiler de bicicleta en Queenstown";"https://www.civitatis.com/es/queenstown/alquiler-bicicleta-queenstown/";"Going Blue Queenstown";"bikehirequeenstown@gmail.com";"027 746 2583";"Going Blue Queenstown | Camp street, Queenstown, Nueva Zelanda";"";"32946.12";"0";"14";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Queenstown";"Salto en paracaídas en Queenstown";"https://www.civitatis.com/es/queenstown/salto-paracaidas-queenstown/";"Nzone Skydive";"accountsreceivable@experienceco.co.nz";"+64 0 21 749 675";"SKYDIVE QUEENSTOWN LIMITED | 35 Shotover street, Queenstown, Nueva Zelanda";"";"197127.67";"0";"2";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Paihia";"Tour en catamarán por Bahía de las Islas";"https://www.civitatis.com/es/paihia/tour-catamaran-bahia-islas/";"Barefoot Sailing Adventures";"fun@barefootsailing.co.nz";"0274784234";"Barefoot Sailing Adventures | 41a Ward Drive Opua, Bay of Islands, Nueva Zelanda";"";"123547.98";"0";"3";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Paihia";"Excursión en barco por Bahía de las Islas";"https://www.civitatis.com/es/paihia/excursion-barco-bahia-islas/";"The Rock Adventure Cruise";"info@rocktheboat.co.nz";"+64 9 4027796";"Bay of Islands Rock Cruises Limited | 69 Marsden Road, Paihia, Nueva Zelanda";"";"158141.42";"0";"0";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Paihia";"Tour del vino por Bahía de las Islas";"https://www.civitatis.com/es/paihia/tour-vino-bahia-islas/";"Mullarkey Tours Limited";"admin@mullarkeytours.co.nz";"+642102773446";"Mullarkey Tours LTD | 110 Foreshore Road, Kaitaia, Nueva Zelanda";"";"115311.45";"0";"2";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Paihia";"Excursión a las cuevas Kawiti, el bosque de Opua y Hundertwasser";"https://www.civitatis.com/es/paihia/excursion-cuevas-kawiti-opua-hundertwasser/";"Mullarkey Tours Limited";"admin@mullarkeytours.co.nz";"+642102773446";"Mullarkey Tours LTD | 110 Foreshore Road, Kaitaia, Nueva Zelanda";"";"131784.51";"0";"0";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Paihia";"Paseo en catamarán al atardecer";"https://www.civitatis.com/es/paihia/paseo-catamaran-atardecer/";"Barefoot Sailing Adventures";"fun@barefootsailing.co.nz";"0274784234";"Barefoot Sailing Adventures | 41a Ward Drive Opua, Bay of Islands, Nueva Zelanda";"";"52164.7";"1";"4";"10.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Paihia";"Parasailing en Bahía de las Islas";"https://www.civitatis.com/es/paihia/parasailing-bahia-islas/";"Bay Of Islands Parasail";"info@bayofislandsparasail.com";"006494026068";"Flying Kiwi Parasail | 16 wilson road, haruru Falls, Paihia, Nueva Zelanda";"";"68637.77";"1";"4";"10.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Excursión a Hobbiton + Cuevas de Waitomo";"https://www.civitatis.com/es/auckland/excursion-hobbiton-cuevas-waitomo/";"Auckland Scenic Tours";"info@aucklandscenictours.co.nz";"+64 21 403325";"Auckland Scenic Tours | 145 Queen Street, Northcote Point, Auckland, Nueva Zelanda";"";"204266.0";"28";"553";"9.9";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Excursión a Hobbiton + Cuevas de Waitomo";"https://www.civitatis.com/es/auckland/excursion-hobbiton-cuevas-waitomo/";"Cheeky Kiwi Travel";"bookings@cheekykiwitravel.com";"+64 9 390 7380";"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda";"";"204266.0";"28";"553";"9.9";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Tour privado por Auckland";"https://www.civitatis.com/es/auckland/tour-privado-auckland/";"Guydeez";"lauderic@guydeez.com";"+34 670 78 37 54";"GUYDEEZ TOUR - FZCO | IFZA Business Park, DDP, Dubái, Emiratos Árabes Unidos";"";"107978.19";"4";"124";"10.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Excursión a Rotorua, Wai-O-Tapu y Te Puia";"https://www.civitatis.com/es/auckland/excursion-rotorua-wai-tapu-te-puia/";"Cheeky Kiwi Travel";"bookings@cheekykiwitravel.com";"+64 9 390 7380";"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda";"";"219091.76";"15";"181";"8.1";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Autobús turístico de Auckland";"https://www.civitatis.com/es/auckland/autobus-turistico-auckland/";"Auckland Explorer Bus";"mikem@entradatravelgroup.com";"021533206";"AUCKLAND EXPLORER BUS LIMITED | 600 Great South Road, Building A Level 2, Auckland, Nueva Zelanda";"";"38437.15";"3";"112";"8.7";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Tour nocturno por las cuevas Glow Worm";"https://www.civitatis.com/es/auckland/tour-nocturno-cuevas-glow-worm/";"Social Nature Movement";"support@snm.nz";"+64211469769";"Social Nature Movement Limited | 1/45 Edenvale Cres. Mount Eden , Auckland, Nueva Zelanda";"";"32946.12";"2";"68";"10.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Traslados en Auckland";"https://www.civitatis.com/es/auckland/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"58753.93";"21";"480";"8.5";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Tour de Auckland al completo";"https://www.civitatis.com/es/auckland/tour-auckland-completo/";"Auckland Scenic Tours";"info@aucklandscenictours.co.nz";"+64 21 403325";"Auckland Scenic Tours | 145 Queen Street, Northcote Point, Auckland, Nueva Zelanda";"";"112565.94";"3";"84";"8.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Excursión a Bahía de las Islas";"https://www.civitatis.com/es/auckland/excursion-bahia-islas/";"Auckland & Beyond Tours";"info@aucklandandbeyond.co.nz";"+64220833075";"Auckland and Beyond Limited | 19 Meadowood Drive, Auckland, Auckland, Nueva Zelanda";"";"252037.89";"0";"8";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Excursión a la península de Coromandel";"https://www.civitatis.com/es/auckland/excursion-peninsula-coromandel/";"Cheeky Kiwi Travel";"bookings@cheekykiwitravel.com";"+64 9 390 7380";"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda";"";"145512.07";"1";"33";"8.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Tour del plancton luminiscente en kayak por Auckland";"https://www.civitatis.com/es/auckland/tour-plancton-luminiscente-kayak/";"Social Nature Movement";"support@snm.nz";"+64211469769";"Social Nature Movement Limited | 1/45 Edenvale Cres. Mount Eden , Auckland, Nueva Zelanda";"";"60401.23";"1";"22";"10.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Senderismo por el Parque Regional de Duder";"https://www.civitatis.com/es/auckland/senderismo-parque-duder/";"Social Nature Movement";"support@snm.nz";"+64211469769";"Social Nature Movement Limited | 1/45 Edenvale Cres. Mount Eden , Auckland, Nueva Zelanda";"";"60401.23";"0";"11";"0.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Tarjeta eSIM con Internet para Nueva Zelanda";"https://www.civitatis.com/es/auckland/tarjeta-esim-nueva-zelanda/";"Xplori";"go@xplori.world";"+84852186217";"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China";"";"22295.63";"2";"37";"9.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Salto en paracaídas en Auckland";"https://www.civitatis.com/es/auckland/salto-tandem-auckland/";"Skydive Auckland";"marketing@skydiveauckland.com";"0064276315020";"Skydive Auckland Limited | 73 Green Road, Parakai, West Auckland, Auckland, Nueva Zelanda";"";"189440.24";"2";"9";"10.0";"CLP";"2026-02-16"
"Nueva Zelanda";"Auckland";"Excursión a Hobbiton y Rotorua";"https://www.civitatis.com/es/auckland/excursion-hobbiton-rotorua/";"Cheeky Kiwi Travel";"bookings@cheekykiwitravel.com";"+64 9 390 7380";"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda";"";"235564.82";"0";"65";"0.0";"CLP";"2026-02-16"
