"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Omán";"Mascate";"Tour privado por Mascate";"https://www.civitatis.com/es/mascate/tour-privado-mascate/";"Gidoman";"webomanorg@gmail.com";"+96894429577";"ILYAS ALSHIBANI FOR TRADING | Muscat/Bousher/al azaiba north/way number 4863/Block no. 248/Building number 3981., Mascate, Omán";"";"263907.46";"29";"495";"8.8";"CLP";"2026-02-16"
"Omán";"Mascate";"Visita guiada por Mascate";"https://www.civitatis.com/es/mascate/visita-guiada-mascate/";"Gray Line Oman";"Excursions@grayline.ae";"0097142555292";"DMC ARABIA TOURISM LLC | P.O Box 186008 Deira Dubai, Dubái, Emiratos Árabes Unidos";"";"47321.33";"37";"387";"8.1";"CLP";"2026-02-16"
"Omán";"Mascate";"Excursión a Nizwa, Birkat Al Mawz y Jabreen";"https://www.civitatis.com/es/mascate/excursion-nizwa/";"Gray Line Oman";"Excursions@grayline.ae";"0097142555292";"DMC ARABIA TOURISM LLC | P.O Box 186008 Deira Dubai, Dubái, Emiratos Árabes Unidos";"";"85542.42";"30";"333";"7.4";"CLP";"2026-02-16"
"Omán";"Mascate";"Excursión a Wahiba Sands y Wadi Bani Khalid";"https://www.civitatis.com/es/mascate/wahiba-sands-wadi-bani-khalid/";"Gidoman";"webomanorg@gmail.com";"+96894429577";"ILYAS ALSHIBANI FOR TRADING | Muscat/Bousher/al azaiba north/way number 4863/Block no. 248/Building number 3981., Mascate, Omán";"";"127403.6";"4";"46";"10.0";"CLP";"2026-02-16"
"Omán";"Mascate";"Excursión a Wadi Shab";"https://www.civitatis.com/es/mascate/excursion-wadi-shab/";"Gray Line Oman";"Excursions@grayline.ae";"0097142555292";"DMC ARABIA TOURISM LLC | P.O Box 186008 Deira Dubai, Dubái, Emiratos Árabes Unidos";"";"85542.42";"23";"272";"7.8";"CLP";"2026-02-16"
"Omán";"Mascate";"Traslados en Mascate";"https://www.civitatis.com/es/mascate/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"44591.26";"14";"308";"7.4";"CLP";"2026-02-16"
"Omán";"Mascate";"Excursión privada a Wadi Bani Khalid y Wahiba Sands";"https://www.civitatis.com/es/mascate/excursion-wadi-bani-khalid-wahiba-sands/";"Choolo Tour";"mecheng101@hotmail.com";"+96895704111";"NASSER JUMA AL HARTHY TRADING SPC | Muscat, Mascate, Omán";"";"356073.8";"1";"18";"10.0";"CLP";"2026-02-16"
"Omán";"Mascate";"Tour por Mascate para cruceros";"https://www.civitatis.com/es/mascate/tour-mascate-cruceros/";"Shore2Shore";"info@shore2shore.es";"928 51 53 52";"CALIMA SHORE TRAVEL S.L. | CALLE PARDELERA 8, Puerto Del Carmen, España";"";"42111.49";"15";"358";"7.5";"CLP";"2026-02-16"
"Omán";"Mascate";"Excursión privada desde Mascate";"https://www.civitatis.com/es/mascate/excursion-privada-mascate/";"Gidoman";"webomanorg@gmail.com";"+96894429577";"ILYAS ALSHIBANI FOR TRADING | Muscat/Bousher/al azaiba north/way number 4863/Block no. 248/Building number 3981., Mascate, Omán";"";"394951.17";"6";"132";"9.0";"CLP";"2026-02-16"
"Omán";"Mascate";"Excursión a Nakhl";"https://www.civitatis.com/es/mascate/excursion-nakhl/";"Gray Line Oman";"Excursions@grayline.ae";"0097142555292";"DMC ARABIA TOURISM LLC | P.O Box 186008 Deira Dubai, Dubái, Emiratos Árabes Unidos";"";"49141.39";"0";"55";"0.0";"CLP";"2026-02-16"
