"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Perú";"Lima";"Excursión a Ica y Huacachina + Islas Ballestas";"https://www.civitatis.com/es/lima/excursion-ica-huacachina-islas-ballestas/";"Futurismo Group";"jponte@futurismogroup.com";"+51 973 272 738";"INVERSIONES PERUANAS JPG E.I.R.L | Cooperativa Magdalena MZ B LT 23, Lima, Los Olivos, Perú";"";"59433.5";"902";"11380";"8.7";"CLP";"2026-02-16"
"Perú";"Lima";"Free tour por Lima";"https://www.civitatis.com/es/lima/free-tour-lima/";"Inca Trilogy Tours";"incatrilogytours@gmail.com";"+51 920843180";"Wilson Brandon Huaman Tintaya | jiron carabaya 145, 145, Lima, Perú";"";"0.0";"2392";"133438";"9.3";"CLP";"2026-02-16"
"Perú";"Lima";"Free tour por Lima";"https://www.civitatis.com/es/lima/free-tour-lima/";"Free Walking Tours Peru";"info@freewalkingtoursperu.com";"+51 958745640";"PERALTA CHAMBI JHON ELVIS | APV San Judas Grande a-12 Wanchaq, Cusco, Perú";"";"0.0";"2392";"133438";"9.3";"CLP";"2026-02-16"
"Perú";"Lima";"Free tour por Barranco";"https://www.civitatis.com/es/lima/free-tour-barranco/";"Lima By Walking";"limabywalking@gmail.com";"+51966229648";"LIMA BY WALKING S.A.C. | Jr. Las Coralinas 738 - San Juan de Lurigancho, Lima, Perú";"";"0.0";"836";"23413";"9.0";"CLP";"2026-02-16"
"Perú";"Lima";"Free tour por Barranco";"https://www.civitatis.com/es/lima/free-tour-barranco/";"Inca Trilogy Tours";"incatrilogytours@gmail.com";"+51 920843180";"Wilson Brandon Huaman Tintaya | jiron carabaya 145, 145, Lima, Perú";"";"0.0";"836";"23413";"9.0";"CLP";"2026-02-16"
"Perú";"Lima";"Tour por Lima";"https://www.civitatis.com/es/lima/tour-lima/";"Futurismo Group";"jponte@futurismogroup.com";"+51 973 272 738";"INVERSIONES PERUANAS JPG E.I.R.L | Cooperativa Magdalena MZ B LT 23, Lima, Los Olivos, Perú";"";"28766.9";"319";"3773";"8.5";"CLP";"2026-02-16"
"Perú";"Lima";"Tour de Lima al completo con entradas";"https://www.civitatis.com/es/lima/tour-lima-completo/";"Peruvian Worldview Tours";"booking@peruvianworldtours.com";"+51 923852220";"Peruvian Worldview Tours SAC | Jr, Washington 702, Lima, Perú";"";"113753.21";"76";"432";"9.8";"CLP";"2026-02-16"
"Perú";"Lima";"Traslados en Lima";"https://www.civitatis.com/es/lima/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"17290.48";"1129";"20400";"8.8";"CLP";"2026-02-16"
"Perú";"Lima";"Excursión de 2 días a Paracas y Huacachina";"https://www.civitatis.com/es/lima/excursion-2-dias-paracas-huacachina/";"Peru Hop";"agencies@peruhop.com";"+51998310915";"Triumph Tours & Trips LLC | 6303 Blue Lagoon Dr, Lima, Estados Unidos";"";"151974.29";"6";"72";"9.0";"CLP";"2026-02-16"
"Perú";"Lima";"Excursión a Pachacamac";"https://www.civitatis.com/es/lima/excursion-pachacamac/";"Futurismo Group";"jponte@futurismogroup.com";"+51 973 272 738";"INVERSIONES PERUANAS JPG E.I.R.L | Cooperativa Magdalena MZ B LT 23, Lima, Los Olivos, Perú";"";"38808.17";"247";"1540";"9.1";"CLP";"2026-02-16"
