destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Punta Cana,República Dominicana,Tour por las playas de isla Saona,"90.494,26 CL$",CLP,993 opiniones,14.276 viajeros,Captain Coco Ecotours Rd,tourscaptaincoco@gmail.com,+34645423940,"Habiel Dufort | Calle Juan de Brito 30, Bayahíbe, República Dominicana",https://www.civitatis.com/es/punta-cana/tour-playas-isla-saona/,2026-02-01
Punta Cana,República Dominicana,Tour por las playas de isla Saona,"90.494,26 CL$",CLP,993 opiniones,14.276 viajeros,Destiny Caribbean Tours,jmc@destinycaribbeantours.com,+1 8295770481,"3.0 Destino Caribbean Tours | Av Italia, Plaza Victoriana, Local 114,  Bávaro, Bávaro, República Dominicana",https://www.civitatis.com/es/punta-cana/tour-playas-isla-saona/,2026-02-01
Punta Cana,República Dominicana,Excursión a Santo Domingo,"72.212,59 CL$",CLP,801 opiniones,15.215 viajeros,Captain Coco Ecotours Rd,tourscaptaincoco@gmail.com,+34645423940,"Habiel Dufort | Calle Juan de Brito 30, Bayahíbe, República Dominicana",https://www.civitatis.com/es/punta-cana/excursion-santo-domingo/,2026-02-01
Punta Cana,República Dominicana,Excursión a la isla Saona + Río Chavón,"86.837,93 CL$",CLP,656 opiniones,6.769 viajeros,Destiny Caribbean Tours,jmc@destinycaribbeantours.com,+1 8295770481,"3.0 Destino Caribbean Tours | Av Italia, Plaza Victoriana, Local 114,  Bávaro, Bávaro, República Dominicana",https://www.civitatis.com/es/punta-cana/excursion-isla-saona-buceo-snorkel/,2026-02-01
Punta Cana,República Dominicana,Excursión a isla Saona en catamarán,"67.642,18 CL$",CLP,1.848 opiniones,102.902 viajeros,Destiny Caribbean Tours,jmc@destinycaribbeantours.com,+1 8295770481,"3.0 Destino Caribbean Tours | Av Italia, Plaza Victoriana, Local 114,  Bávaro, Bávaro, República Dominicana",https://www.civitatis.com/es/punta-cana/excursion-isla-saona/,2026-02-01
Punta Cana,República Dominicana,Tour en buggy por Punta Cana,"36.563,34 CL$",CLP,1.056 opiniones,16.599 viajeros,Tours Point,lgonzalez@tours-point.com,8295209617,"Online Transport Services LLC | 16192 Coastal Highway, Lewes, DE, Estados Unidos",https://www.civitatis.com/es/punta-cana/tour-buggy-punta-cana/,2026-02-01
Punta Cana,República Dominicana,Entrada a El Dorado Water Park,"117.916,77 CL$",CLP,8 opiniones,211 viajeros,Centurium Bay Company S.a.s,comercial@eldoradowaterpark.com,8495077904,"CENTURIUM BAY COMPANY SAS | Centro Comercial Las Canas, local 209-210, Cap Cana, provincia La Altagracia, Rep. Dom., Cap Cana, Punta Cana, República Dominicana",https://www.civitatis.com/es/punta-cana/entrada-dorado-water-park/,2026-02-01
Punta Cana,República Dominicana,Traslados en Punta Cana,"13.711,25 CL$",CLP,7.438 opiniones,163.022 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/punta-cana/traslados/,2026-02-01
Punta Cana,República Dominicana,Excursión al Parque Nacional Los Haitises,"117.916,77 CL$",CLP,258 opiniones,2.820 viajeros,Silven International,billingwhales@gmail.com,+420 102 026 106,"Misael Calcaño Silven | Moca Casa 14, Sabana del Mar, República Dominicana",https://www.civitatis.com/es/punta-cana/excursion-haitises/,2026-02-01
Punta Cana,República Dominicana,Fiesta en la discoteca Coco Bongo Punta Cana,"82.267,51 CL$",CLP,375 opiniones,13.557 viajeros,Coco Bongo Punta Cana,aurelia@cocobongo.com.do,+1809-466-1111,"International Shows Group LLC | 777 Brickell Ave Ste 1210, Miami, Estados Unidos",https://www.civitatis.com/es/punta-cana/fiesta-coco-bongo-punta-cana/,2026-02-01
Punta Cana,República Dominicana,Excursión a Costa Esmeralda y la Montaña Redonda + Quad por El Limón,"90.494,26 CL$",CLP,224 opiniones,1.909 viajeros,Destiny Caribbean Tours,jmc@destinycaribbeantours.com,+1 8295770481,"3.0 Destino Caribbean Tours | Av Italia, Plaza Victoriana, Local 114,  Bávaro, Bávaro, República Dominicana",https://www.civitatis.com/es/punta-cana/costa-esmeralda-montana-redonda-quad/,2026-02-01
Punta Cana,República Dominicana,Excursión a los Altos de Chavón y la Cueva de las Maravillas,"114.260,44 CL$",CLP,27 opiniones,551 viajeros,Bm Quisqueya Travel & Dmc Srl,breidy.bmquisqueyatravel@gmail.com,+1 849 255 7012,"BM Quisqueya Travel & DMC SRL | C/ los Robles n51, suite 102, Santo Domingo, República Dominicana",https://www.civitatis.com/es/punta-cana/excursion-altos-chavon-cueva-maravillas/,2026-02-01
Punta Cana,República Dominicana,Excursión a Isla Catalina con snorkel,"72.212,59 CL$",CLP,211 opiniones,5.571 viajeros,Jada Corales,arturodomenech02@gmail.com,8094136883,"Jada Corales S.R.L | Calle Mallen 230, Arroyo Hondo, Santo Domingo, República Dominicana",https://www.civitatis.com/es/punta-cana/excursion-isla-catalina/,2026-02-01
Punta Cana,República Dominicana,Excursión a Isla Catalina con snorkel,"72.212,59 CL$",CLP,211 opiniones,5.571 viajeros,Captain Coco Ecotours Rd,tourscaptaincoco@gmail.com,+34645423940,"Habiel Dufort | Calle Juan de Brito 30, Bayahíbe, República Dominicana",https://www.civitatis.com/es/punta-cana/excursion-isla-catalina/,2026-02-01
Punta Cana,República Dominicana,Avistamiento de ballenas en Samaná + Cayo Levantado,"123.401,27 CL$",CLP,10 opiniones,609 viajeros,Silven International,billingwhales@gmail.com,+420 102 026 106,"Misael Calcaño Silven | Moca Casa 14, Sabana del Mar, República Dominicana",https://www.civitatis.com/es/punta-cana/avistamiento-ballenas-samana/,2026-02-01
Punta Cana,República Dominicana,Fiesta en catamarán por Punta Cana,"50.274,59 CL$",CLP,15 opiniones,1.094 viajeros,Coastline Catamarans,coastlinecatamarans@gmail.com,+1 809 787-6798,"Coastline Cana Tours S.R.L | Jellyfish Plaza, Local No.5, Bavaro, República Dominicana",https://www.civitatis.com/es/punta-cana/paseo-catamaran-punta-cana/,2026-02-01
