"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"República Checa";"Praga";"Visita guiada por el Castillo de Praga";"https://www.civitatis.com/es/praga/visita-guiada-castillo-praga/";"Turistico S.r.o.";"info@turistico.cz";"+420 602 320 041";"TURISTICO s.r.o. | Premyslova 55, Libušín, República Checa";"";"59442.55";"5174";"78699";"9.3";"CLP";"2026-02-16"
"República Checa";"Praga";"Visita guiada por el Castillo de Praga";"https://www.civitatis.com/es/praga/visita-guiada-castillo-praga/";"Culture And Touring Tours Praga";"praga@cultureandtouring.com";"+34644234146";"CULTURE AND TOURING SL | CALLE CASTELAO, NUM 7 PLANTA 4, PUERTA E, Pontevedra, España";"";"59442.55";"5174";"78699";"9.3";"CLP";"2026-02-16"
"República Checa";"Praga";"Visita guiada por el Castillo de Praga";"https://www.civitatis.com/es/praga/visita-guiada-castillo-praga/";"Torres De Praga";"carlostorres921@hotmail.com";"00420 774 352 322";"Las Torres S.R.O | Skolska 3106, Milovice , República Checa";"";"59442.55";"5174";"78699";"9.3";"CLP";"2026-02-16"
"República Checa";"Praga";"Excursión al Campo de Concentración Terezín";"https://www.civitatis.com/es/praga/excursion-terezin/";"Torres De Praga";"carlostorres921@hotmail.com";"00420 774 352 322";"Las Torres S.R.O | Skolska 3106, Milovice , República Checa";"";"54038.68";"5340";"39315";"9.4";"CLP";"2026-02-16"
"República Checa";"Praga";"Free tour por Praga";"https://www.civitatis.com/es/praga/free-tour-praga/";"Torres De Praga";"carlostorres921@hotmail.com";"00420 774 352 322";"Las Torres S.R.O | Skolska 3106, Milovice , República Checa";"";"0.0";"34354";"448320";"8.9";"CLP";"2026-02-16"
"República Checa";"Praga";"Free tour por la Ciudad Vieja y el barrio judío";"https://www.civitatis.com/es/praga/free-tour-ciudad-vieja-barrio-judio/";"Torres De Praga";"carlostorres921@hotmail.com";"00420 774 352 322";"Las Torres S.R.O | Skolska 3106, Milovice , República Checa";"";"0.0";"13952";"290241";"9.2";"CLP";"2026-02-16"
"República Checa";"Praga";"Free tour por la Ciudad Vieja y el barrio judío";"https://www.civitatis.com/es/praga/free-tour-ciudad-vieja-barrio-judio/";"3Btours Praga";"3btours.company@gmail.com";"+34 607089571";"3BTours S.R.O. | Mrstikova 3299/30, Praga, República Checa";"";"0.0";"13952";"290241";"9.2";"CLP";"2026-02-16"
"República Checa";"Praga";"Traslados en Praga";"https://www.civitatis.com/es/praga/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"25914.76";"35161";"357392";"9.5";"CLP";"2026-02-16"
"República Checa";"Praga";"Excursión a Karlovy Vary";"https://www.civitatis.com/es/praga/excursion-karlovy-vary/";"Torres De Praga";"carlostorres921@hotmail.com";"00420 774 352 322";"Las Torres S.R.O | Skolska 3106, Milovice , República Checa";"";"72411.83";"3911";"29097";"9.3";"CLP";"2026-02-16"
"República Checa";"Praga";"Excursión a Cesky Krumlov";"https://www.civitatis.com/es/praga/excursion-cesky-krumlov/";"Torres De Praga";"carlostorres921@hotmail.com";"00420 774 352 322";"Las Torres S.R.O | Skolska 3106, Milovice , República Checa";"";"81058.02";"1971";"13979";"9.3";"CLP";"2026-02-16"
