"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"República Dominicana";"Punta Cana";"Tour por las playas de isla Saona";"https://www.civitatis.com/es/punta-cana/tour-playas-isla-saona/";"Captain Coco Ecotours Rd";"tourscaptaincoco@gmail.com";"+34645423940";"Habiel Dufort | Calle Juan de Brito 30, Bayahíbe, República Dominicana";"";"90543.58";"1011";"14538";"9.1";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Tour por las playas de isla Saona";"https://www.civitatis.com/es/punta-cana/tour-playas-isla-saona/";"Destiny Caribbean Tours";"jmc@destinycaribbeantours.com";"+1 8295770481";"3.0 Destino Caribbean Tours | Av Italia, Plaza Victoriana, Local 114,  Bávaro, Bávaro, República Dominicana";"";"90543.58";"1011";"14538";"9.1";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Excursión a Santo Domingo";"https://www.civitatis.com/es/punta-cana/excursion-santo-domingo/";"Captain Coco Ecotours Rd";"tourscaptaincoco@gmail.com";"+34645423940";"Habiel Dufort | Calle Juan de Brito 30, Bayahíbe, República Dominicana";"";"72251.94";"808";"15379";"8.3";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Excursión a isla Saona en catamarán";"https://www.civitatis.com/es/punta-cana/excursion-isla-saona/";"Destiny Caribbean Tours";"jmc@destinycaribbeantours.com";"+1 8295770481";"3.0 Destino Caribbean Tours | Av Italia, Plaza Victoriana, Local 114,  Bávaro, Bávaro, República Dominicana";"";"72251.94";"1855";"103178";"7.8";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Fiesta en la discoteca Coco Bongo Punta Cana";"https://www.civitatis.com/es/punta-cana/fiesta-coco-bongo-punta-cana/";"Coco Bongo Punta Cana";"aurelia@cocobongo.com.do";"+1809-466-1111";"International Shows Group LLC | 777 Brickell Ave Ste 1210, Miami, Estados Unidos";"";"82312.34";"378";"13709";"8.5";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Traslados en Punta Cana";"https://www.civitatis.com/es/punta-cana/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"13718.72";"7562";"167618";"8.9";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Avistamiento de ballenas en Samaná + Cayo Levantado";"https://www.civitatis.com/es/punta-cana/avistamiento-ballenas-samana/";"Silven International";"billingwhales@gmail.com";"+420 102 026 106";"Misael Calcaño Silven | Moca Casa 14, Sabana del Mar, República Dominicana";"";"123468.51";"13";"644";"7.5";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Tour por Macao";"https://www.civitatis.com/es/punta-cana/tour-macao/";"Transporte Rj Rodríguez Punta Cana";"juancarlosrodriguez0012@gmail.com";"+18096690867";"TRANSPORTE RJ RODRIGUEZ PUNTA CANA, S.R.L. | AVENIDA ESPEÑA EN PLAZA ITALIA NO. 8, VERON, La Altagracia, República Dominicana";"";"59447.8";"32";"145";"9.7";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Excursión al Parque Nacional Los Haitises";"https://www.civitatis.com/es/punta-cana/excursion-haitises/";"Silven International";"billingwhales@gmail.com";"+420 102 026 106";"Misael Calcaño Silven | Moca Casa 14, Sabana del Mar, República Dominicana";"";"114322.7";"262";"2841";"8.5";"CLP";"2026-02-24"
"República Dominicana";"Punta Cana";"Excursión a la isla Saona + Altos de Chavón";"https://www.civitatis.com/es/punta-cana/excursion-isla-saona-buceo-snorkel/";"Destiny Caribbean Tours";"jmc@destinycaribbeantours.com";"+1 8295770481";"3.0 Destino Caribbean Tours | Av Italia, Plaza Victoriana, Local 114,  Bávaro, Bávaro, República Dominicana";"";"100603.97";"660";"6818";"8.8";"CLP";"2026-02-24"
