"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Senegal";"Saly";"Excursión privada a la Reserva de Bandia y Lago Rosa";"https://www.civitatis.com/es/saly/excursion-reserva-bandia-lago-rosa/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"221355.29";"9";"202";"8.0";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión privada a un poblado serer o fulani";"https://www.civitatis.com/es/saly/excursion-poblado-serer-fulani/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"215956.39";"8";"151";"9.5";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión privada al Lago Rosa";"https://www.civitatis.com/es/saly/excursion-lago-rosa/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"161967.29";"5";"35";"9.2";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión privada a la Reserva de Bandia";"https://www.civitatis.com/es/saly/excursion-reserva-bandia/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"134972.74";"19";"332";"8.3";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión privada a Dakar e Isla de Gorea";"https://www.civitatis.com/es/saly/excursion-dakar-isla-gorea/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"280743.3";"20";"304";"8.1";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión privada al delta del Salum";"https://www.civitatis.com/es/saly/excursion-delta-salum/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"237552.02";"7";"176";"9.1";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión privada a la Isla de Gorea y Lago Rosa";"https://www.civitatis.com/es/saly/excursion-isla-gorea-lago-rosa/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"280743.3";"0";"41";"0.0";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión privada a Mbour";"https://www.civitatis.com/es/saly/excursion-mbour/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"124174.92";"4";"61";"6.5";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión a Joal Fadiouth y el delta del Salum";"https://www.civitatis.com/es/saly/excursion-joal-fadiouth/";"Eberrek Tours";"info@eberrek.com";"626021278";"EBERREK TOURS | Sanyang Village, Kombo South, sanyang, Gambia";"";"80983.64";"1";"32";"8.0";"CLP";"2026-02-16"
"Senegal";"Saly";"Excursión privada a Joal-Fadiouth";"https://www.civitatis.com/es/saly/excursion-privada-joal-fadiouth/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"151169.47";"1";"49";"8.0";"CLP";"2026-02-16"
"Senegal";"Saly";"Misa en el Monasterio de Keur Moussa";"https://www.civitatis.com/es/saly/misa-monasterio-keur-moussa/";"Optimum Voyages Senegal";"info@optimumvoyages-sn.com";"00221 77 099 97 99";"Optimum Voyage Sénégal-S.A.R.L. | 31 Cité Sonatel , Ouest - Foire, Dakar, Senegal";"";"151169.47";"2";"13";"10.0";"CLP";"2026-02-16"
