"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Serbia";"Belgrado";"Free tour por Belgrado";"https://www.civitatis.com/es/belgrado/free-tour-belgrado/";"Feel Belgrade";"ivandjordjevic92@gmail.com";"0603954002";"Ivan Dordevic | Susacka 19, Belgrade, Belgrado, Serbia";"";"0.0";"471";"11052";"9.1";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Tour por el Belgrado comunista";"https://www.civitatis.com/es/belgrado/tour-belgrado-comunista/";"Tour Operator D.o.o.";"office@serbia-touroperator.com";"+381652000775";"Serbia Tour Operator DMC | Koste Glavinića 2, Belgrado, Serbia";"";"47510.4";"29";"192";"9.4";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Excursión a Novi Sad, Fruska Gora y Sremski Karlovci con cata de vinos";"https://www.civitatis.com/es/belgrado/tour-novi-sad-sremski-karlovci/";"Tour Operator D.o.o.";"office@serbia-touroperator.com";"+381652000775";"Serbia Tour Operator DMC | Koste Glavinića 2, Belgrado, Serbia";"";"70185.82";"81";"555";"8.8";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Tour privado por Belgrado";"https://www.civitatis.com/es/belgrado/tour-privado-belgrado/";"Serbian Adventure Factory Finance And Tourism";"serbianadventurefactory@gmail.com";"+381642035083";"Tihomir Nedeljkovic | Marsala Tita 21 Secanj, Belgrado, Serbia";"";"145770.56";"40";"1118";"8.4";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Monasterio de Manasija, cueva Resava y cascada Lisine";"https://www.civitatis.com/es/belgrado/monasterio-manasija-cueva-resava-cascada-lisine/";"Tour Operator D.o.o.";"office@serbia-touroperator.com";"+381652000775";"Serbia Tour Operator DMC | Koste Glavinića 2, Belgrado, Serbia";"";"97180.37";"13";"150";"8.6";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Traslados en Belgrado";"https://www.civitatis.com/es/belgrado/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"45350.84";"66";"1027";"9.0";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Excursión a Novi Sad";"https://www.civitatis.com/es/belgrado/excursion-novi-sad/";"Balkan Roads";"kontakt@balkanroads.rs";"+381665091793";"Balkan roads d.o.o | THE ONE business complex, Omladinskih brigada 98, 1st floor, New Belgrade, Serbia";"";"52909.31";"1";"17";"10.0";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Tour por los subterráneos de Belgrado";"https://www.civitatis.com/es/belgrado/ruta-subterranea-belgrado/";"Balkan Roads";"kontakt@balkanroads.rs";"+381665091793";"Balkan roads d.o.o | THE ONE business complex, Omladinskih brigada 98, 1st floor, New Belgrade, Serbia";"";"21595.63";"33";"613";"9.3";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Free tour por Zemun";"https://www.civitatis.com/es/belgrado/free-tour-zemun/";"Balkan Roads";"kontakt@balkanroads.rs";"+381665091793";"Balkan roads d.o.o | THE ONE business complex, Omladinskih brigada 98, 1st floor, New Belgrade, Serbia";"";"0.0";"29";"657";"8.8";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Tour panorámico por Belgrado";"https://www.civitatis.com/es/belgrado/tour-panoramico-belgrado/";"Tour Operator D.o.o.";"office@serbia-touroperator.com";"+381652000775";"Serbia Tour Operator DMC | Koste Glavinića 2, Belgrado, Serbia";"";"64786.91";"0";"61";"0.0";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Visita guiada por Belgrado";"https://www.civitatis.com/es/belgrado/visita-guiada-belgrado/";"Tour Operator D.o.o.";"office@serbia-touroperator.com";"+381652000775";"Serbia Tour Operator DMC | Koste Glavinića 2, Belgrado, Serbia";"";"31313.67";"44";"626";"9.6";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Pub Crawl ¡Tour de fiesta por Belgrado!";"https://www.civitatis.com/es/belgrado/pub-crawl-belgrado/";"Replay Pub Crawl";"replaypubcrawl@gmail.com";"+381631446072";"Miomir Vukovic | Karadjordjeva 50, Belgrado, Serbia";"";"43191.27";"0";"136";"0.0";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Tour de la arquitectura brutalista en patinete eléctrico";"https://www.civitatis.com/es/belgrado/tour-arquitectura-brutalista-patinete-electrico/";"E-Around";"kacarmarko@gmail.com";"+381606076007";"E Scooter Belgrade | Marsala Birjuzova 23, Belgrado, Serbia";"";"37792.36";"1";"16";"10.0";"CLP";"2026-02-16"
"Serbia";"Belgrado";"Excursión a los monasterios de Žiča y Studenica";"https://www.civitatis.com/es/belgrado/excursion-monasterios-zica-studenica/";"Balkan Roads";"kontakt@balkanroads.rs";"+381665091793";"Balkan roads d.o.o | THE ONE business complex, Omladinskih brigada 98, 1st floor, New Belgrade, Serbia";"";"128494.05";"2";"21";"10.0";"CLP";"2026-02-16"
