"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Sri Lanka";"Colombo";"Tour en tuk tuk por Colombo";"https://www.civitatis.com/es/colombo/tour-tuk-tuk-colombo/";"Capital Tour By Tuk Tuk";"ceyloncapital8@gmail.com";"0752008824";"Capital Tour by Tuk Tuk | Negombo Road, Welisara, Sri Lanka";"";"22750.64";"28";"179";"9.4";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Tour privado por Colombo";"https://www.civitatis.com/es/colombo/tour-privado-colombo/";"Flying Bird Tours";"fbirdtours@gmail.com";"+12502036827";"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka";"";"133318.77";"4";"213";"9.5";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Tour privado por Colombo";"https://www.civitatis.com/es/colombo/tour-privado-colombo/";"Ceylon Travel Dream";"ceylonreservationsteam@gmail.com";"+94 76 92 13 119";"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka";"";"133318.77";"4";"213";"9.5";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Excursión privada a Sigiriya y Dambulla";"https://www.civitatis.com/es/colombo/excursion-sigiriya-dambulla/";"Ceylon Travel Dream";"ceylonreservationsteam@gmail.com";"+94 76 92 13 119";"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka";"";"261177.38";"3";"76";"9.3";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Alquiler de coche con conductor en Colombo";"https://www.civitatis.com/es/colombo/alquiler-coche-conductor-colombo/";"Deyo Tours";"hathisarasaranga@gmail.com";"+94768340730";"Deyo tours | 139/A, Kande Vihara Rd, SRI LANKA. 12070, Aluthgama, Sri Lanka";"";"185209.79";"0";"7";"0.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Visita guiada por Colombo";"https://www.civitatis.com/es/colombo/visita-guiada-colombo/";"Real Lanka Holidays Pvt Ltd";"premilreallankaholiday@gmail.com";"+94777108200";"Real Lanka Holidays Pvt Ltd | No 210/D,Kimbulapitiya Road,Kadirana, Negombo, Sri Lanka";"";"11830.33";"10";"86";"9.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Excursión privada a Kandy";"https://www.civitatis.com/es/colombo/excursion-kandy/";"Flying Bird Tours";"fbirdtours@gmail.com";"+12502036827";"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka";"";"178365.04";"3";"75";"10.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Excursión privada a Kandy";"https://www.civitatis.com/es/colombo/excursion-kandy/";"Ceylon Travel Dream";"ceylonreservationsteam@gmail.com";"+94 76 92 13 119";"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka";"";"178365.04";"3";"75";"10.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Traslados en Colombo";"https://www.civitatis.com/es/colombo/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"26390.74";"12";"114";"7.7";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Excursión privada a Udawalawe";"https://www.civitatis.com/es/colombo/excursion-udawalawe/";"Flying Bird Tours";"fbirdtours@gmail.com";"+12502036827";"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka";"";"302128.54";"0";"20";"0.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Excursión privada a Galle";"https://www.civitatis.com/es/colombo/excursion-galle/";"Flying Bird Tours";"fbirdtours@gmail.com";"+12502036827";"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka";"";"178365.04";"1";"30";"10.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Excursión privada a Galle";"https://www.civitatis.com/es/colombo/excursion-galle/";"Ceylon Travel Dream";"ceylonreservationsteam@gmail.com";"+94 76 92 13 119";"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka";"";"178365.04";"1";"30";"10.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Circuito de 5 días por Sri Lanka";"https://www.civitatis.com/es/colombo/circuito-5-dias-sri-lanka/";"Asia Escapes India Llp";"asia@asiaescapes.co.in";"9818444514";"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India";"";"803097.72";"1";"20";"10.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Excursión privada a Negombo";"https://www.civitatis.com/es/colombo/excursion-negombo/";"Flying Bird Tours";"fbirdtours@gmail.com";"+12502036827";"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka";"";"133318.77";"1";"4";"10.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Rafting en Kitulgala";"https://www.civitatis.com/es/colombo/rafting-kitulgala/";"Bh Lanka Tours";"bhsrilankatours@gmail.com";"+ 94 760953130";"B.H. Tours | No75, Samanpaya,Kudagalgamuwa, Kurunegala, Sri Lanka";"";"168354.76";"0";"3";"0.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Tour de 8 días por lo mejor de Sri Lanka";"https://www.civitatis.com/es/colombo/tour-8-dias-sri-lanka/";"Asia Escapes India Llp";"asia@asiaescapes.co.in";"9818444514";"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India";"";"1194408.79";"0";"129";"0.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Tour gastronómico por Colombo";"https://www.civitatis.com/es/colombo/tour-gastronomico-colombo/";"Capital Tour By Tuk Tuk";"ceyloncapital8@gmail.com";"0752008824";"Capital Tour by Tuk Tuk | Negombo Road, Welisara, Sri Lanka";"";"29575.83";"2";"7";"9.0";"CLP";"2026-02-16"
"Sri Lanka";"Colombo";"Sri Lanka y Maldivas en 11 días";"https://www.civitatis.com/es/colombo/sri-lanka-maldivas-11-dias/";"Asia Escapes India Llp";"asia@asiaescapes.co.in";"9818444514";"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India";"";"2301455.11";"0";"0";"0.0";"CLP";"2026-02-16"
