"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Uruguay";"Montevideo";"Cena y espectáculo en el restaurante Primuseum";"https://www.civitatis.com/es/montevideo/cena-espectaculo-primuseum/";"Primuseum";"primuseumresto@gmail.com";"+598 92 125 698";"ONITNAS LTDA | Perez Castellano, 1389, Montevideo, Uruguay";"";"86885.25";"102";"789";"9.8";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Free tour por Montevideo";"https://www.civitatis.com/es/montevideo/free-tour-montevideo/";"Matías Nicolás Leivas Nuñez";"matiasleivas@hotmail.com";"+59895225951";"Matías Nicolás Leivas Nuñez | Rio de Janeiro 4111, Apto. 1, Montevideo, Uruguay";"";"0.0";"1297";"15224";"9.6";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Excursión a Punta del Este";"https://www.civitatis.com/es/montevideo/excursion-punta-este-piriapolis/";"Dcom Travel";"operaciones@dcomtravel.com";"+598 290 11 335";"OBINTER S.A | Mahoma 4284 , Montevideo, Uruguay";"";"36583.26";"683";"6772";"8.9";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Espectáculo del Carnaval de Montevideo";"https://www.civitatis.com/es/montevideo/desfile-llamadas-carnaval-montevideo/";"Discovers Company Inc.";"discoverspro@gmail.com";"+59823137874";"Fernando Martin Rocha Rivero | CAMINO LA PALOMA 1852 BIS, Montevideo, Uruguay";"";"25608.28";"12";"153";"8.5";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Traslados en Montevideo";"https://www.civitatis.com/es/montevideo/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"42985.33";"266";"3197";"9.3";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Excursión a Colonia del Sacramento";"https://www.civitatis.com/es/montevideo/excursion-colonia-sacramento/";"Buquebus";"turismonacional@buquebus.com";"+5982130";"LOS CIPRESES S.A. | Rio Negro 1394, Montevideo, Uruguay";"";"45729.08";"199";"2584";"8.3";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Excursión a Colonia del Sacramento";"https://www.civitatis.com/es/montevideo/excursion-colonia-sacramento/";"Inver";"reservas@inver.com.uy";"+598 91274848";"INVER Ltda. | Calle Inca, 2069, Montevideo, Uruguay";"";"45729.08";"199";"2584";"8.3";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Free tour por el barrio Prado";"https://www.civitatis.com/es/montevideo/free-tour-barrio-prado/";"Tradiciones Celtas Latinas";"pecchitours@gmail.com";"+59897016262";"Andrés Gabriel Pechi López | Ignacio Rivas 1113, Montevideo, Uruguay";"";"0.0";"58";"583";"9.4";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Visita guiada por Montevideo";"https://www.civitatis.com/es/montevideo/visita-guiada-montevideo/";"Inver";"reservas@inver.com.uy";"+598 91274848";"INVER Ltda. | Calle Inca, 2069, Montevideo, Uruguay";"";"19663.5";"263";"2403";"8.9";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Autobús turístico de Montevideo";"https://www.civitatis.com/es/montevideo/autobus-turistico-montevideo/";"Cutcsa";"comercial.busturistico@cutcsa.com.uy";"+598 19333 504";"Compañia Uruguaya de Transporte SA | Jose Pedro Varela 3385, Montevideo, Uruguay";"";"23615.1";"73";"1856";"8.9";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Visita a Bodegas Carrau";"https://www.civitatis.com/es/montevideo/visita-bodegas-carrau/";"Bodegas Carrau";"visitas@bodegascarrau.com";"+59891950046";"Vinos Finos Juan Carrau S.A. | César Mayo Gutiérrez 2556, Montevideo, Uruguay";"";"22864.54";"48";"559";"9.7";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Tour panorámico por Montevideo";"https://www.civitatis.com/es/montevideo/tour-panoramico-montevideo/";"Dcom Travel";"operaciones@dcomtravel.com";"+598 290 11 335";"OBINTER S.A | Mahoma 4284 , Montevideo, Uruguay";"";"23138.91";"81";"852";"8.5";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Tour de Montevideo para cruceros";"https://www.civitatis.com/es/montevideo/tour-montevideo-para-cruceros/";"Yellow Penguin";"diego@southexperiences.com";"+59897770222";"DIEGO FRIEDMANN JOFFE | Siracusa 2235, Montevideo, Uruguay";"";"35668.68";"10";"573";"9.4";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Visita a la Bodega Bouza";"https://www.civitatis.com/es/montevideo/visita-bodega-bouza/";"Bodega Bouza";"visitas@bodegabouza.com";"+59895400030";"Chacras del Sur S.A. | Camino de La Redecion 7658 bis., Montevideo, Uruguay";"";"47948.09";"310";"3689";"8.8";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Asado uruguayo en la bodega Ángel Fallabrino";"https://www.civitatis.com/es/montevideo/asado-uruguayo-bodega-angel-fallabrino/";"Dcom Travel";"operaciones@dcomtravel.com";"+598 290 11 335";"OBINTER S.A | Mahoma 4284 , Montevideo, Uruguay";"";"181087.16";"4";"28";"10.0";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Visita a la bodega Spinoglio";"https://www.civitatis.com/es/montevideo/visita-bodega-spinoglio/";"Senderos Group";"operaciones@senderosdeltannat.com";"+598 93 776 000";"CRISTIAN GERMAN SAFIE RODRIGUEZ | San José 1226, Montevideo, Uruguay";"";"69508.2";"0";"7";"0.0";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Tour privado de viñedos y bodegas";"https://www.civitatis.com/es/montevideo/tour-bodegas-montevideo/";"The Wine Experience";"ryan@thewine-experience.com";"097348445";"HAMILTON RYAN ADAM | PEDRAGOSA SIERRA, ORLANDO, Punta del Este, Uruguay";"";"365823.5";"4";"48";"10.0";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Espectáculo en El Milongón";"https://www.civitatis.com/es/montevideo/cena-espectaculo-milongon/";"Inver";"reservas@inver.com.uy";"+598 91274848";"INVER Ltda. | Calle Inca, 2069, Montevideo, Uruguay";"";"38412.42";"130";"1386";"8.6";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Tour en bicicleta por Montevideo";"https://www.civitatis.com/es/montevideo/tour-bicicleta-montevideo/";"Orange Bike";"stella.mitrano@gmail.com";"+59891515055";"ORANGE BIKE S.R.L. | Perez Castellano 1417 bis, Montevideo, Uruguay";"";"54874.89";"32";"227";"8.9";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Entrada al Museo Andes 1972";"https://www.civitatis.com/es/montevideo/entrada-museo-andes-1972/";"Museo Andes 1972";"museoandes1972@gmail.com";"+59829169461";"Isomont S. A. | Rincón 619, Montevideo, Uruguay";"";"7084.53";"32";"484";"9.3";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Transporte a Buenos Aires: Autobús + Ferry";"https://www.civitatis.com/es/montevideo/autobus-ferry-buenos-aires/";"Colonia Express";"tickets@coloniaexpress.com";"+54 11 5167-7700";"LUMARY S.A | Boulevar Artigas 1825 Local 31/32, Montevideo, Uruguay";"";"77306.08";"34";"367";"8.8";"CLP";"2026-02-24"
"Uruguay";"Montevideo";"Tour privado por Montevideo";"https://www.civitatis.com/es/montevideo/tour-privado-montevideo/";"Dcom Travel";"operaciones@dcomtravel.com";"+598 290 11 335";"OBINTER S.A | Mahoma 4284 , Montevideo, Uruguay";"";"316500.21";"4";"173";"9.5";"CLP";"2026-02-24"
