"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Venezuela";"Caracas";"Tour por Caracas";"https://www.civitatis.com/es/caracas/tour-caracas/";"Ola Ola Travel";"olaolacivitatis@gmail.com";"+584147238752";"OLA OLA TRAVEL LLC | Av Francisco de Miranda, Torre Easo, piso 2, Ofic 2B, El Rosal, Caracas-Venezuela, Caracas, Venezuela";"";"31831.91";"4";"69";"7.0";"CLP";"2026-02-24"
"Venezuela";"Caracas";"Tour privado por Caracas";"https://www.civitatis.com/es/caracas/tour-privado-caracas/";"Ola Ola Travel";"olaolacivitatis@gmail.com";"+584147238752";"OLA OLA TRAVEL LLC | Av Francisco de Miranda, Torre Easo, piso 2, Ofic 2B, El Rosal, Caracas-Venezuela, Caracas, Venezuela";"";"63663.83";"2";"54";"10.0";"CLP";"2026-02-24"
"Venezuela";"Caracas";"Excursión a Colonia Tovar";"https://www.civitatis.com/es/caracas/excursion-colonia-tovar/";"Ola Ola Travel";"olaolacivitatis@gmail.com";"+584147238752";"OLA OLA TRAVEL LLC | Av Francisco de Miranda, Torre Easo, piso 2, Ofic 2B, El Rosal, Caracas-Venezuela, Caracas, Venezuela";"";"127327.67";"2";"27";"10.0";"CLP";"2026-02-24"
"Venezuela";"Caracas";"Excursión privada desde Caracas";"https://www.civitatis.com/es/caracas/excursion-privada-caracas/";"Ola Ola Travel";"olaolacivitatis@gmail.com";"+584147238752";"OLA OLA TRAVEL LLC | Av Francisco de Miranda, Torre Easo, piso 2, Ofic 2B, El Rosal, Caracas-Venezuela, Caracas, Venezuela";"";"316500.21";"0";"1";"0.0";"CLP";"2026-02-24"
"Venezuela";"Caracas";"Visita guiada por el Cementerio General del Sur";"https://www.civitatis.com/es/caracas/visita-guiada-cementerio-general-sur/";"Ecotravel Venezuela";"ecotravelvenezuela@gmail.com";"+584127308328";"Kripsy Karina Herrera Garcia | Av. Este 0 Edif. Centro Parque Caracas. Torre F piso 8 APT 82F Urb. La Candelaria, Caracas, Venezuela";"";"31831.91";"0";"0";"0.0";"CLP";"2026-02-24"
"Venezuela";"Caracas";"Traslados en Caracas";"https://www.civitatis.com/es/caracas/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"18291.63";"15";"150";"8.4";"CLP";"2026-02-24"
"Venezuela";"La Asunción";"Excursión a la isla de Cubagua";"https://www.civitatis.com/es/la-asuncion/excursion-isla-cubagua/";"Grupo Bt Travel";"producto@grupobttravel.com";"00584248638155";"Grupo Bt TRavel LLC | av boivar cc ab oficina 25, Porlamar, Venezuela";"";"80227.1";"0";"5";"0.0";"CLP";"2026-02-24"
"Venezuela";"La Asunción";"Trekking por Cabo Negro";"https://www.civitatis.com/es/la-asuncion/trekking-cabo-negro/";"Promo Tours";"promotoursmargarita@gmail.com";"04147942506";"Promo Tours, C.A. | Av. Principal de Guarame, Edif. Resid. Arcos de Guarame, Piso 1 Apto. 2-H, Porlamar, Venezuela";"";"50301.98";"0";"2";"0.0";"CLP";"2026-02-24"
"Venezuela";"La Asunción";"Tour por La Asunción y Pampatar";"https://www.civitatis.com/es/la-asuncion/tour-asuncion-pampatar/";"Promo Tours";"promotoursmargarita@gmail.com";"04147942506";"Promo Tours, C.A. | Av. Principal de Guarame, Edif. Resid. Arcos de Guarame, Piso 1 Apto. 2-H, Porlamar, Venezuela";"";"64020.71";"0";"3";"0.0";"CLP";"2026-02-24"
"Venezuela";"La Asunción";"Tour por La Asunción + Trekking por La Sierra";"https://www.civitatis.com/es/la-asuncion/tour-asuncion-trekking-sierra/";"Promo Tours";"promotoursmargarita@gmail.com";"04147942506";"Promo Tours, C.A. | Av. Principal de Guarame, Edif. Resid. Arcos de Guarame, Piso 1 Apto. 2-H, Porlamar, Venezuela";"";"50301.98";"0";"0";"0.0";"CLP";"2026-02-24"
