"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Zambia";"Livingstone";"Tour privado por las Cataratas Victoria";"https://www.civitatis.com/es/livingstone/tour-cataratas-victoria/";"Edgar Phiri";"ephiri78@yahoo.es";"+26 096 3356 445";"Edgar Haabazoka Phiri Guiding | PO BOX 620178, Kalomo, Zambia";"";"59151.67";"8";"129";"9.0";"CLP";"2026-02-16"
"Zambia";"Livingstone";"Tour por Livingstone";"https://www.civitatis.com/es/livingstone/tour-livingstone/";"Hsm Adveentures Tours And Safaris";"thezambezi@gmail.com";"09035120867";"HSM Adventures Tours And Safaris | MC 249 8 STREET MARAMBA, Livingstone, Zambia";"";"68281.54";"0";"5";"0.0";"CLP";"2026-02-16"
"Zambia";"Livingstone";"Excursión al Parque Nacional Chobe";"https://www.civitatis.com/es/livingstone/excursion-parque-chobe/";"Edgar Phiri";"ephiri78@yahoo.es";"+26 096 3356 445";"Edgar Haabazoka Phiri Guiding | PO BOX 620178, Kalomo, Zambia";"";"195655.53";"4";"33";"9.0";"CLP";"2026-02-16"
"Zambia";"Livingstone";"Rafting en el río Zambeze";"https://www.civitatis.com/es/livingstone/rafting-rio-zambeze/";"Shockwave Adventures";"info@shockwavevicfalls.com";"+263 13 43001-2";"Safeway Taxis (Pvt) Ltd T/A Shockwave Adventures | 6627 Mkhosana, Victoria Falls, Zimbabue";"";"147151.16";"0";"6";"0.0";"CLP";"2026-02-16"
"Zambia";"Livingstone";"Puenting en las Cataratas Victoria";"https://www.civitatis.com/es/livingstone/puenting-cataratas-victoria/";"Shockwave Adventures";"info@shockwavevicfalls.com";"+263 13 43001-2";"Safeway Taxis (Pvt) Ltd T/A Shockwave Adventures | 6627 Mkhosana, Victoria Falls, Zimbabue";"";"189194.35";"1";"5";"10.0";"CLP";"2026-02-16"
"Zambia";"Livingstone";"Safari de 10 días por lo mejor de Zambia";"https://www.civitatis.com/es/livingstone/safari-10-dias-zambia/";"Lochinvar Safaris";"lochinvarsafarilodge@gmail.com";"+260979506439";"NAHUBWE SAFARI LODGE | 123 Bombay Road, Lusaka, Zambia";"";"1572524.49";"0";"0";"0.0";"CLP";"2026-02-16"
"Zambia";"Livingstone";"Safari por el Parque Nacional de Mosi-Oa-Tunya";"https://www.civitatis.com/es/livingstone/safari-parque-mosi-oa-tunya/";"Hsm Adveentures Tours And Safaris";"thezambezi@gmail.com";"09035120867";"HSM Adventures Tours And Safaris | MC 249 8 STREET MARAMBA, Livingstone, Zambia";"";"74488.95";"0";"2";"0.0";"CLP";"2026-02-16"
"Zambia";"Livingstone";"Gorge swing en Livingstone";"https://www.civitatis.com/es/livingstone/gorge-swing-livingstone/";"Shockwave Adventures";"info@shockwavevicfalls.com";"+263 13 43001-2";"Safeway Taxis (Pvt) Ltd T/A Shockwave Adventures | 6627 Mkhosana, Victoria Falls, Zimbabue";"";"120896.92";"0";"1";"0.0";"CLP";"2026-02-16"
"Zambia";"Lusaka";"Tour por Lusaka";"https://www.civitatis.com/es/lusaka/tour-lusaka/";"Lusaka In A Day Tours";"lusakainaday@gmail.com";"260966223646";"Petros Elias Talimi | 45 Kafue Gardens Road, Lusaka, Lusaka, Zambia";"";"54601.54";"0";"1";"0.0";"CLP";"2026-02-16"
"Zambia";"Lusaka";"Safari de 6 días por Zambia";"https://www.civitatis.com/es/lusaka/safari-6-dias-zambia/";"Lochinvar Safaris";"lochinvarsafarilodge@gmail.com";"+260979506439";"NAHUBWE SAFARI LODGE | 123 Bombay Road, Lusaka, Zambia";"";"618817.5";"0";"2";"0.0";"CLP";"2026-02-16"
