destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Santiago de Chile,Chile,Visita guiada por Santiago,15.000 CL$,CLP,190 opiniones,1.849 viajeros,Zehndertour,aliceanb@gmail.com,+56945386408,"Razón social: Gustavo Isaac Zehnder Sady | Domicilio Social: Alonso de Ovalle 884 DP 301, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/visita-guiada-santiago/,2026-01-29
Santiago de Chile,Chile,Excursión a Valparaíso y Viña del Mar,36.440 CL$,CLP,1.874 opiniones,27.108 viajeros,Mto Tour,administracion@lucerotravelchile.cl,+56964461423,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile | Razón social: Sociedad Lucero Travel Chile Limitada | Domicilio Social: Santa Lucia 344, OF 42, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-valparaiso-vina-del-mar/,2026-01-29
Santiago de Chile,Chile,Excursión al Cajón del Maipo en grupo reducido,38.000 CL$,CLP,278 opiniones,3.929 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-cajon-maipo-grupo-reducido/,2026-01-29
Santiago de Chile,Chile,Free tour por Santiago,¡Gratis!,CLP,2.413 opiniones,50.029 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/free-tour-santiago/,2026-01-29
Santiago de Chile,Chile,Tour panorámico por Santiago,41.340 CL$,CLP,338 opiniones,3.685 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-panoramico-santiago/,2026-01-29
Santiago de Chile,Chile,Excursión al Parque Nacional Siete Tazas,93.500 CL$,CLP,4 opiniones,122 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-parque-nacional-siete-tazas/,2026-01-29
Santiago de Chile,Chile,Traslados en Santiago de Chile,"38.198,53 CL$",CLP,1.199 opiniones,25.844 viajeros,N/A,N/A,N/A,N/A,https://www.civitatis.com/es/santiago-de-chile/traslados/,2026-01-29
Santiago de Chile,Chile,Excursión a la Viña Undurraga,54.340 CL$,CLP,68 opiniones,714 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-vina-undurraga/,2026-01-29
Santiago de Chile,Chile,"Estación de esquí El Portillo, Laguna del Inca y Viña San Esteban","58.098,14 CL$",CLP,191 opiniones,2.511 viajeros,Stamp's Tour,operations@stampstour.com,+56 999516940,"Razón social: TURISMO Y TRANSPORTE STAMP'S TOUR LIMITA | Domicilio Social: Camino Carampangue Parcela 2 N°3201,, Talagante, Chile",https://www.civitatis.com/es/santiago-de-chile/estacion-esqui-portillo-laguna-inca/,2026-01-29
Santiago de Chile,Chile,Excursión a las termas de Colina y el embalse El Yeso,"67.702,47 CL$",CLP,13 opiniones,172 viajeros,Lc Turismo,gerencia@lucascarvalhoturismo.com.br,+56987064691,"Razón social: LUCAS CARVALHO TURISMO LTDA | Domicilio Social: 3-21 RUA JOSE ARIEDE, Bauru, Brasil",https://www.civitatis.com/es/santiago-de-chile/excursion-termas-colina-embalse-yeso/,2026-01-29
Santiago de Chile,Chile,Tour por el Museo de la Memoria y los Derechos Humanos,"19.099,26 CL$",CLP,14 opiniones,117 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-museo-memoria-derechos-humanos/,2026-01-29
Santiago de Chile,Chile,Tarjeta eSIM Civitatis Chile,"4.547,44 CL$",CLP,41 opiniones,817 viajeros,Airalo,Partnerships.Europe_CIS@airalo.com,,"Razón social: AirGSM Pte. Ltd. | Domicilio Social: 6 Raffles Boulevard, Marina Square #03-308, Singapore 039594, Singapur, Singapur",https://www.civitatis.com/es/tarjeta-esim-chile/,2026-01-29
Santiago de Chile,Chile,Excursión a la Viña Concha y Toro,86.000 CL$,CLP,481 opiniones,5.247 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-vina-concha-toro/,2026-01-29
Santiago de Chile,Chile,Excursión al viñedo Alyan al atardecer,"109.207,72 CL$",CLP,53 opiniones,1.033 viajeros,Lc Turismo,gerencia@lucascarvalhoturismo.com.br,+56987064691,"Razón social: LUCAS CARVALHO TURISMO LTDA | Domicilio Social: 3-21 RUA JOSE ARIEDE, Bauru, Brasil",https://www.civitatis.com/es/santiago-de-chile/excursion-vinedo-alyan-atardecer/,2026-01-29
Santiago de Chile,Chile,Tour del vino Casillero del Diablo en la Viña Concha y Toro + Cena,179.000 CL$,CLP,4 opiniones,68 viajeros,Turistik Cl,jpfassi@turistik.cl,0056 228 201 000,"Razón social: TURISTIK S.A | Domicilio Social: ENCOMENDEROS 260 11, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-vino-casillero-diablo/,2026-01-29
Santiago de Chile,Chile,Autobús turístico de Santiago de Chile,44.000 CL$,CLP,24 opiniones,688 viajeros,Turistik Cl,jpfassi@turistik.cl,0056 228 201 000,"Razón social: TURISTIK S.A | Domicilio Social: ENCOMENDEROS 260 11, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/autobus-turistico-santiago-chile/,2026-01-29
Santiago de Chile,Chile,Tour por Santiago + Teleférico del cerro San Cristóbal,100.000 CL$,CLP,62 opiniones,590 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-santiago-teleferico-san-cristobal/,2026-01-29
Santiago de Chile,Chile,Excursión al Cajón del Maipo,60.000 CL$,CLP,704 opiniones,11.009 viajeros,Atacama Extrema Spa,administracion@lucerotravelchile.cl,+56964461423,"Razón social: Atacama extrema SPA | Domicilio Social: calle del arzobispo 0639, Santiago de Chile, Chile | Razón social: Sociedad Lucero Travel Chile Limitada | Domicilio Social: Santa Lucia 344, OF 42, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-cajon-maipo-embalse-yeso/,2026-01-29
Santiago de Chile,Chile,Tour privado por Santiago de Chile,149.990 CL$,CLP,78 opiniones,1.826 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-privado-santiago/,2026-01-29
Santiago de Chile,Chile,Visita a la viña Casas del Bosque,99.000 CL$,CLP,Sin valorar,50 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/visita-vina-casas-del-bosque/,2026-01-29
Santiago de Chile,Chile,Free tour por el exterior de los museos y palacios de Santiago,¡Gratis!,CLP,387 opiniones,10.752 viajeros,Urbantours Spa,Chileurbantour@gmail.com,+56962152383,"Razón social: Aquino & Fernandez de la Reguera | Domicilio Social: Monjitas 550, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/free-tour-museos-palacios-santiago/,2026-01-29
Santiago de Chile,Chile,Free tour por el barrio Yungay,¡Gratis!,CLP,399 opiniones,7.262 viajeros,Urbantours Spa,Chileurbantour@gmail.com,+56962152383,"Razón social: Aquino & Fernandez de la Reguera | Domicilio Social: Monjitas 550, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/free-tour-barrio-yungay/,2026-01-29
Santiago de Chile,Chile,Visita a las bodegas de Santa Rita,59.980 CL$,CLP,68 opiniones,936 viajeros,Mto Tour,grojas@mtotour.com,+56996383528,"Razón social: ASESORIAS GUILLERMO ROJAS EIRL | Domicilio Social: MARIA DEL PILAR 2931, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-bodegas-santa-rita/,2026-01-29
Santiago de Chile,Chile,Excursión a Isla Negra y Pomaire,150.000 CL$,CLP,50 opiniones,473 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/excursion-isla-negra-pomaire/,2026-01-29
Santiago de Chile,Chile,Cena y espectáculo tradicional,95.000 CL$,CLP,29 opiniones,628 viajeros,Tac Turismo,contacto@tacturismo.cl,+56 963530267,"Razón social: Agencia de Viajes Miguel Sergio Garrido Muñoz E.I.R.L. | Domicilio Social: DR M BARROS BORGONO 71 OF 504 5P, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/cena-espectaculo-santiago-chile/,2026-01-29
Santiago de Chile,Chile,Excursión al Parque Safari de Rancagua,"84.360,69 CL$",CLP,9 opiniones,783 viajeros,Lc Turismo,gerencia@lucascarvalhoturismo.com.br,+56987064691,"Razón social: LUCAS CARVALHO TURISMO LTDA | Domicilio Social: 3-21 RUA JOSE ARIEDE, Bauru, Brasil",https://www.civitatis.com/es/santiago-de-chile/excursion-parque-safari-rancagua/,2026-01-29
Santiago de Chile,Chile,Tour por Lastarria y el cerro Santa Lucía,"13.642,33 CL$",CLP,39 opiniones,1.330 viajeros,Latin Style Travel,latinstyletravel@gmail.com,+56978382289,"Razón social: Jaime Mois Corona | Domicilio Social: Central 048, Santiago de Chile, Chile",https://www.civitatis.com/es/santiago-de-chile/tour-lastarria-cerro-santa-lucia/,2026-01-29
